Date,Close,High,Low,Open,Volume,EP,NI,PD,GR,YP,XC,CC,XL,DR,MU,CP
2026-07-13,1990.0,1990.0,1990.0,1990.0,300,0.0,0.0,0.0,0.0006,-0.0002,0.0,0.0,-0.0004,0.0,0.0,0.0
2026-07-14,1920.0,2000.0,1920.0,2000.0,3600,0.0,0.0,-0.0004,0.0006,0.0,-0.0008,0.005,0.0,-0.0044,0.0,0.0
2026-07-15,1920.0,1920.0,1920.0,1920.0,0,,,,,,,,,,,
2026-07-16,1955.0,1955.0,1925.0,1940.0,400,0.0,0.0,0.0002,-0.0004,0.0,-0.0002,0.0002,0.0002,0.0,0.0,0.0
2026-07-17,1975.0,2140.0,1945.0,1980.0,11700,0.0002,-0.0002,-0.0002,-0.011,-0.0002,-0.0002,0.0118,-0.0002,0.0,0.0,0.0
2026-07-20,1925.0,2050.0,1920.0,2020.0,2700,0.0,0.0,0.0008,0.0,0.0,0.0006,-0.0028,0.0014,0.0,0.0,0.0
2026-07-21,1945.0,1945.0,1945.0,1945.0,100,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002
2026-07-22,1985.0,2000.0,1970.0,1970.0,400,0.0,0.0,0.0,0.0006,0.0,-0.0002,0.0,-0.0004,0.0,0.0002,-0.0002
2026-07-23,1970.0,2000.0,1925.0,2000.0,1100,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0,0.0,-0.0002,0.0
2026-07-24,2010.0,2010.0,1950.0,1955.0,500,0.0,0.0,-0.0002,0.0006,0.0,-0.0004,0.0,-0.0,0.0,0.0,0.0
