Date,Close,High,Low,Open,Volume,CD,OD,PD,BQ,YP,CC,XL,NI,KK,AI,XC,SQ,GR,IF,KI,YB,LG,RO,MG,QA
2026-07-13,133.0,136.0,131.0,136.0,483100,0.0,-0.0036,0.0006,0.0,0.0008,-0.0138,0.0113,0.0002,0.0,0.0017,0.0027,0.0038,0.0016,0.0,0.0,-0.0054,0.0,0.0,0.0,0.0
2026-07-14,134.0,135.0,129.0,134.0,706100,0.0,0.0,-0.0535,-0.0,0.005,0.0078,0.0127,0.0003,0.013,-0.0001,0.0157,0.0008,-0.0017,-0.0001,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-15,134.0,135.0,131.0,135.0,432800,0.0,0.0008,-0.0093,0.0,-0.0004,0.0027,0.0186,0.0002,0.0002,0.0008,0.0019,-0.0214,-0.0013,0.0,0.0,0.0072,0.0001,0.0,0.0,0.0
2026-07-16,135.0,135.0,132.0,132.0,459900,0.0,0.0008,-0.0,0.0003,-0.0024,0.0157,0.0018,0.0005,0.0003,0.0029,-0.0023,-0.0195,-0.001,0.0012,0.0,0.0013,0.0001,0.0001,0.0003,0.0
2026-07-17,134.0,136.0,132.0,135.0,336500,0.0001,0.0,0.0061,0.0001,0.0028,-0.0017,-0.0098,-0.0009,0.0003,0.0002,-0.0011,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,144.0,163.0,139.0,153.0,17908000,,,,,,,,,,,,,,,,,,,,
2026-07-21,143.0,155.0,138.0,147.0,6081500,,,,,,,,,,,,,,,,,,,,
2026-07-22,140.0,144.0,133.0,144.0,2356000,,,,,,,,,,,,,,,,,,,,
2026-07-23,140.0,143.0,134.0,142.0,2544100,,,,,,,,,,,,,,,,,,,,
2026-07-24,136.0,140.0,134.0,140.0,1060400,,,,,,,,,,,,,,,,,,,,
