Date,Close,High,Low,Open,Volume,AK,YP,SQ,OD,SS,CP,XC,AT,KK,PD,XL,LG,CC,DH,EP,YJ,QA,FS,DR,NI,AZ,BQ,TP,MG,KI,PC,YU,HP,LS,YB,GR,BS,ES,IF,CD,RO,MI,AG,TF,ZP
2026-07-13,197.0,202.0,197.0,199.0,197600,-0.0002,-0.0012,-0.0284,-0.0025,0.0,0.0,0.0009,0.0203,0.0028,0.0081,-0.0025,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0
2026-07-14,222.0,234.0,198.0,202.0,3964000,-0.0019,-0.045,-0.0463,-0.0095,0.0,-0.01,-0.1027,-0.0147,0.5316,-0.0135,-0.0298,-0.0061,-0.0735,-0.0171,-0.0086,-0.0011,0.0,-0.0574,0.0001,-0.0119,-0.0011,-0.0001,0.0,0.0,-0.0,-0.0007,-0.0316,0.0,0.0,0.001,-0.0058,-0.0214,-0.023,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,216.0,244.0,216.0,222.0,1690700,-0.0075,0.0067,-0.0005,-0.0101,0.0,0.0009,-0.0234,-0.0005,-0.0133,-0.0414,0.0334,0.0033,0.0481,-0.0006,0.0062,-0.0,0.0,0.0,0.004,-0.0014,0.0049,0.0,0.0,0.0022,-0.0004,-0.0002,-0.0009,-0.0012,-0.0081,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,216.0,218.0,210.0,214.0,662000,-0.0093,0.006,0.0011,0.0004,0.0,0.0006,-0.0102,0.0024,0.0191,0.0445,-0.0223,0.0,0.0178,0.0002,0.0043,0.0004,-0.0,-0.0,-0.0025,-800.0,-0.0,200.0,-0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,216.0,216.0,212.0,214.0,176800,-0.0001,0.0059,0.0041,-0.0004,-0.0021,0.0002,-0.0001,-0.0,0.0125,-0.0071,-0.0035,-0.0,-0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,222.0,224.0,214.0,218.0,777400,-0.0049,0.0041,-0.0,-0.006,0.0,-0.0018,-0.0056,-0.0007,0.0936,0.0106,-0.0843,0.0,-0.0054,0.0,0.0,0.0011,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0022,0.0001,0.0,-0.0022,0.0,0.0,0.0039,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,222.0,228.0,222.0,228.0,256800,-0.0001,0.0032,0.0001,-0.0001,0.0,0.0,0.0154,-0.0002,0.0004,0.0077,0.0002,0.0,-0.0068,0.0,0.0,-0.0005,-0.0001,0.0,0.0,-0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0027,-0.0207,-0.0,0.001,-0.0111,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0
2026-07-22,224.0,226.0,220.0,226.0,332500,-0.0054,0.0092,-0.0005,0.0,0.0,0.0007,0.0019,0.0153,0.0169,0.0183,-0.0245,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0071,0.0,0.0,0.0,-0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026
2026-07-23,220.0,228.0,204.0,224.0,4356200,-0.0029,0.0196,0.008,0.0072,0.0,-0.0007,0.004,0.0067,0.1984,0.0711,0.0393,-0.0009,-0.0083,0.0,0.0057,-0.0,0.0,0.0,-0.0001,0.0119,0.0,0.0004,0.0004,-0.0001,0.0,0.0,0.0,0.0307,0.0,0.009,-0.0401,0.0,0.0,0.0,0.0,0.0,-0.3586,-0.0002,-0.0004,0.0
2026-07-24,216.0,220.0,212.0,220.0,253900,0.0001,-0.0052,0.0005,-0.0098,0.0,0.0,0.0007,-0.0,0.0,0.0242,-0.0105,0.0,0.021,0.0,-0.0071,0.0,0.0,0.0,-0.0009,-0.0085,0.0,0.0,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
