Date,Close,High,Low,Open,Volume,XC,ZP,AT,AK,EP,XL,YP,CC,PD,LG,KK,RB,DR,OD
2026-07-13,515.0,515.0,498.0,500.0,24600,-0.0003,0.0,0.0,0.0001,0.0,-0.0044,-0.0027,-0.0042,-0.0,0.0,0.0,0.0114,0.0,0.0001
2026-07-14,515.0,515.0,500.0,515.0,7000,0.0002,0.0,0.0,0.0,0.0,-0.003,0.0,-0.0,-0.0001,0.0,0.0,0.0028,0.0,0.0
2026-07-15,515.0,515.0,500.0,515.0,15700,-0.0001,0.0,0.0,0.0,0.0,-0.0025,-0.001,-0.0005,-0.0,0.0,0.0001,0.0041,-0.0001,0.0
2026-07-16,515.0,520.0,500.0,515.0,20700,-0.0001,0.0,0.0,0.0,0.0,0.0027,0.0,-0.0003,-0.0021,-0.0003,-0.0,0.0,0.0,0.0
2026-07-17,515.0,535.0,510.0,535.0,20800,-0.002,0.0001,-0.0014,0.0001,0.0001,0.003,0.0001,0.0008,-0.0005,0.0,0.0,0.0,0.0,0.0
2026-07-20,515.0,535.0,515.0,535.0,3500,,,,,,,,,,,,,,
2026-07-21,520.0,525.0,510.0,515.0,46600,,,,,,,,,,,,,,
2026-07-22,505.0,520.0,500.0,515.0,4600,,,,,,,,,,,,,,
2026-07-23,510.0,510.0,500.0,505.0,11100,,,,,,,,,,,,,,
2026-07-24,510.0,510.0,510.0,510.0,1000,,,,,,,,,,,,,,
