Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,YU,LG,AZ,XA,PF,AT,AK,EP,YP,DH,CC,YB,BQ,NI,PD,HD,QA,SQ,YJ,KK,LS,CP,ZP,ZR,KI,AG,BK,DX,XL,OD,AI,TP,RG,RX,IF,AO,GR,HP,CD,RO,DR,KZ,PC,ES,PP,RF,FS,SF,BB,SH,MG
2026-07-13,2050.0,2050.0,1980.0,2000.0,7682800,Barang-Konsumen-Primer,Makanan-Minuman,-0.578,0.5918,0.2454,0.022,-0.0596,0.0,-0.0193,2.9,0.0143,-1.3,-0.1024,-1.7,-0.0663,-0.0116,-0.0843,2.9,0.0073,0.0,-0.1803,-0.0193,-0.0631,0.0,0.0375,-2.3,-0.1018,-0.1831,-0.0002,0.5789,0.0632,-0.9542,-0.0073,0.0,-0.0031,0.0,0.0,0.2327,0.0,-0.2502,-0.0136,-0.0121,0.0002,-0.0952,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.6546,0.0,-0.0415
2026-07-14,2020.0,2050.0,2010.0,2050.0,11089800,Barang-Konsumen-Primer,Makanan-Minuman,-0.1812,-0.0657,-0.2455,-0.0198,0.0002,0.0,0.0331,-4.4,0.0122,-0.0439,0.0055,1.5,0.0871,0.0043,0.1135,11.0,-0.0277,0.0248,0.184,0.0,-0.231,0.0,0.5071,-1.1,-0.0406,0.1077,0.0008,-1.8,0.0,0.3612,0.0597,0.0,-0.0307,0.0,-3.2,0.0,0.0,-0.0199,-0.003,0.0,0.0016,-0.5946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.002,0.0
2026-07-15,2030.0,2050.0,2000.0,2020.0,13026100,Barang-Konsumen-Primer,Makanan-Minuman,0.0966,0.2201,-0.1762,0.0022,-0.0002,0.0,-0.0067,-6.7,0.1173,0.3308,0.0128,1.3,-0.3467,-0.0016,0.1233,8.7,0.0133,0.0,-0.0118,0.0002,-0.0023,0.0,0.0044,0.5429,-0.0111,0.0,0.0004,-0.7791,0.026,0.3016,-4.4,0.0204,0.0814,0.0,-0.0492,-0.0443,0.0,-0.3824,-0.0022,0.0201,0.0,0.1444,0.0,-0.0303,0.0,0.0,0.0,0.0,0.002,0.8916,0.0,0.0
2026-07-16,2030.0,2040.0,2010.0,2030.0,8436000,Barang-Konsumen-Primer,Makanan-Minuman,0.4323,-0.4365,0.0431,0.1204,-0.0001,0.0,0.0316,-6.6,-0.0685,-0.0178,-0.003,3.1,0.1461,0.2823,-0.0186,0.3783,-0.0011,0.0289,0.0545,0.001,0.2807,0.0,0.0,1.8,-0.0103,0.0,0.0081,0.0401,-0.002,0.4026,0.8363,0.02,0.0147,0.001,0.0,0.0,0.0,-0.0112,-0.0145,0.0,-0.002,-0.1411,-0.1421,0.0002,-0.7458,0.1565,0.001,0.0002,0.0,0.0,0.0,0.0
2026-07-17,2070.0,2090.0,2000.0,2030.0,10164700,Barang-Konsumen-Primer,Makanan-Minuman,-0.1088,0.634,1.0,1.3,0.0345,0.0021,-0.0862,-4.0,-0.2281,-0.0089,0.0159,-0.0795,0.1276,-0.4952,-0.0912,-0.0346,-0.0089,0.0023,0.0163,-0.0052,0.1962,-0.0,0.0193,0.3805,-0.0412,-0.107,0.0029,-1.8,-0.1485,-0.6043,-0.0299,-0.0284,0.0924,0.0006,3.5,0.1561,0.1165,-0.0138,0.0008,-0.0834,-0.0017,0.3361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2080.0,2140.0,2050.0,2070.0,15535200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2080.0,2110.0,2050.0,2080.0,12169100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2080.0,2120.0,2080.0,2090.0,8730300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2120.0,2200.0,2080.0,2090.0,15089600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2130.0,2140.0,2080.0,2120.0,4492300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
