Date,Close,High,Low,Open,Volume,OD,QA,PD,AK,YP,XA,FZ,NI,DR,CC,KK,XL,HD,XC,CP,IF,GR,BQ,PG,YB,AT,EP,AI,SQ,YU,KI,AZ,RO,DH
2026-07-13,392.0,414.0,366.0,376.0,944600,-0.0009,0.0,0.0096,0.0002,0.002,0.0,0.0,-0.0268,0.0,-0.0125,-0.006,0.0224,0.0001,-0.0046,0.0345,0.0,-0.0062,-0.0006,0.0,-0.0013,0.0,-0.0103,-0.0002,0.0001,0.0012,0.0001,-0.0,0.0005,-0.0014
2026-07-14,390.0,410.0,372.0,400.0,261700,0.0,0.0,0.0004,-0.0031,-0.0022,0.0001,0.0,0.0011,0.0,-0.0027,-0.0023,-0.0011,-0.0001,0.0001,0.0169,0.0,0.003,-0.0002,0.0,-0.0034,0.0,0.0008,-0.0018,-0.0042,-0.0012,0.0,0.0,0.0,0.0
2026-07-15,376.0,400.0,374.0,396.0,390200,0.0071,0.0,0.001,-0.0008,0.0005,0.0,0.0,-0.0024,0.0,-0.0304,0.004,0.0592,-0.0,0.0008,-0.0456,0.0,0.0116,0.0001,0.0,-0.0058,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,378.0,392.0,376.0,376.0,68000,-0.0015,0.0,0.0019,0.0,-0.0002,0.0,0.0,0.0001,0.0002,0.0049,0.0,-0.0038,-600.0,0.0014,-0.0032,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,382.0,390.0,376.0,378.0,194000,0.0005,0.0024,0.0058,0.0004,0.0023,0.02,0.0001,0.002,0.0,-0.0364,-0.0002,-0.0027,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,394.0,400.0,374.0,382.0,437200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,418.0,422.0,394.0,394.0,648500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,426.0,430.0,412.0,418.0,230300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,414.0,438.0,410.0,426.0,321300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,406.0,428.0,404.0,424.0,61000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
