Date,Close,High,Low,Open,Volume,CP,GR,XL,PD,IF,DR,CC,YP,KI,XA,KK,EP,AO,AG,AT,GI,ES,AI,XC,SQ,TP,OD,QA,BQ,AK,FZ,NI,YU,MU,AZ,YB,HP,LG,RO,DH,MG,ID,BK,CD,SF,HD
2026-07-13,79.0,83.0,79.0,80.0,7711000,-0.0384,-0.0022,-0.0043,0.0421,0.0,0.0,-0.0195,-0.0154,-0.0122,-0.0001,0.0006,-0.0004,-0.0002,0.0,0.0,0.0,0.0,-0.0,-0.0243,-0.0005,0.08,0.0048,-0.0,0.0122,-0.006,0.0,-0.0004,0.0,0.0162,-0.0121,0.0054,-0.0247,-0.0027,0.0,0.0021,-0.0001,0.0,0.0002,-0.0001,0.0,0.0
2026-07-14,81.0,87.0,79.0,79.0,31285600,0.0017,-0.0081,0.0592,0.0412,0.0,-0.0006,0.0839,0.1199,-0.0084,0.0015,-0.0079,-0.022,0.0041,0.0,-0.0085,0.0,0.0,-0.0,-0.0182,-0.0009,-0.1131,-0.0002,0.0,-0.0962,-0.0451,0.0,-0.0112,-0.0002,0.0156,0.0122,0.0047,0.0,0.0003,0.0002,-0.0042,0.0011,0.0,-0.0002,0.0001,-0.0008,0.0001
2026-07-15,81.0,82.0,80.0,81.0,5285300,-0.0204,0.0305,-0.0445,0.0028,0.0041,0.0,-0.0289,-0.0508,0.0001,0.0,0.0138,0.002,0.0,0.0,-200.0,0.0,0.0,0.0,-0.0053,0.0105,0.0533,-0.0013,-0.0,-0.0108,0.0108,0.0,0.0221,0.0,0.0,0.0,-0.001,0.0,-0.0011,0.0002,0.0001,0.0139,0.0,-0.0,0.0,0.0,0.0
2026-07-16,82.0,83.0,80.0,82.0,6204900,-0.001,-0.0001,0.0116,0.0134,0.0041,-0.0041,-0.0658,0.05,0.0,-0.0355,0.0022,0.0,0.0026,-0.026,0.0,0.0,0.0,0.0,-0.0133,0.0066,0.0,-0.0,0.0,0.0006,0.0231,0.0,-0.0024,0.0008,0.0,-0.0002,0.0295,0.0,0.0,0.0,0.0,0.008,-0.0041,0.0,0.0,0.0,0.0
2026-07-17,84.0,87.0,81.0,82.0,49476400,0.0793,-0.022,0.1964,0.0217,0.0017,0.0004,-0.3384,-0.0073,0.0001,-0.0188,0.0291,-0.0489,-0.0371,-0.0851,-0.0016,0.0001,0.0,-0.0007,0.1215,-0.03,-0.0583,-0.0018,0.0001,0.0202,0.1104,-0.0002,0.0622,0.0128,-0.0085,0.0182,-0.0099,0.0035,0.0045,0.0004,0.0118,-0.0258,0.0,0.0,0.0,0.0,0.0
2026-07-20,83.0,85.0,82.0,85.0,9183600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,84.0,85.0,83.0,84.0,8277900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,82.0,85.0,80.0,83.0,14136800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,82.0,84.0,81.0,82.0,11195200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,78.0,82.0,77.0,82.0,12711100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
