Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,MI,XA,KZ,AT,AK,EP,YP,DH,CC,GI,ES,YB,NI,BQ,IU,PD,QA,SQ,YJ,KK,LS,CP,ZP,KI,OD,BK,DX,AI,XL,MG,ID,TP,AR,RG,RX,IF,AF,AO,GR,HP,CD,RO,DR,IH,BF,HD,BB,AG,FZ,MU,IN,SA,RS,OK,SF,ZR,PG,FS
2026-07-13,810.0,810.0,790.0,800.0,26893600,-0.1088,1.5,-0.0333,-0.4237,0.0,-0.0208,0.0,0.0248,2.2,0.3198,-0.1161,0.0488,-1.0,0.0,-0.0765,0.0013,2.4,-0.016,0.0,0.5152,0.0006,-0.6416,0.0004,-0.3055,0.0,0.0279,-3.8,0.0068,0.0637,0.9504,0.0024,0.1221,0.4739,-1.8,0.0,0.0575,-0.0001,0.0,0.0,0.0004,-0.0081,0.0,-0.7558,0.1638,0.0,-0.004,-0.1796,0.0,0.0,0.0226,0.4046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,825.0,840.0,810.0,810.0,52322500,-0.361,5.2,-0.2526,-0.0444,0.0,0.8045,0.0,-0.0971,4.1,-0.303,0.8787,-0.1778,0.8047,0.0,-0.0084,0.1077,0.1158,0.1696,0.0,0.5688,-0.0998,0.5736,0.0494,1.3,0.0416,0.2453,-5.2,-0.0624,-0.064,-1.3,0.095,0.3676,1.1,-8.6,0.0,0.1288,0.0,0.0,0.0,0.0111,0.01,0.0,-0.2627,0.0438,-0.0008,0.1152,0.1806,0.0,0.0,-0.1415,0.0,0.0107,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0249,-0.0017,-0.0835,-0.0008
2026-07-15,835.0,840.0,825.0,835.0,23080400,2.0,0.3616,-0.3052,0.067,0.0,-0.0048,0.0,0.0187,-4.0,0.2075,0.411,-0.0815,-2.1,0.0,0.0,0.0,-0.0832,-0.0396,0.0166,0.3425,0.0032,-0.3037,-0.0585,0.6751,0.03,-0.2329,-0.9916,0.0636,0.2205,-0.7606,-0.005,0.0286,-0.168,0.0,0.0,0.0,0.0,0.0008,0.0,0.0365,0.0,0.0,1.4,0.2522,0.0249,0.0026,0.5672,0.0,0.0,0.124,2.2,0.0291,0.0,0.0,0.0,0.0,-0.0029,0.0084,0.0,0.0,0.0,0.0
2026-07-16,840.0,855.0,830.0,840.0,53377400,-0.3629,-0.9846,4.0,-0.0582,0.0,3.4,0.0,-0.0087,1.5,0.447,0.7027,0.2325,-1.6,0.0,-0.0085,-0.0997,0.1423,0.0136,0.0,-0.1378,0.0108,-1.1,0.0587,3.6,0.0,0.536,-1.0,-0.0883,0.0448,-1.8,-0.0045,0.2053,1.1,-5.5,0.0,0.1309,0.0,0.0017,0.0,-0.0001,0.0,0.0442,0.0527,-0.0356,0.0,-0.1119,-0.3775,0.0008,-0.0128,-0.0166,0.7036,-3.6,-0.0008,0.0006,0.0004,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,845.0,850.0,820.0,840.0,35236300,-0.9313,0.0534,0.0036,-0.832,0.334,-0.0071,0.0001,-0.0006,-5.6,-0.0901,0.8847,0.032,6.7,-0.0001,0.252,-0.0682,3.5,0.1086,0.0001,-0.1743,0.0033,-0.0321,-0.0494,0.2738,-0.0003,1.4,1.1,0.0354,0.4274,0.3168,0.0198,-1.4,-0.5421,-4.1,-0.0867,-0.1083,0.0042,0.0087,-0.7088,-0.0584,0.0083,-0.0004,-0.7154,-0.0081,-500.0,0.0072,0.1796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,860.0,885.0,835.0,840.0,56840300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,885.0,910.0,860.0,870.0,56468400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,865.0,900.0,830.0,890.0,70188200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,890.0,905.0,860.0,865.0,66367800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,850.0,890.0,850.0,890.0,34030400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
