Date,Close,High,Low,Open,Volume,MG,SQ,YU,XA,GR,XL,YP,CC,RO,XC,IH,KK,AT,AG,AI,NI,BQ,PD,DR,LG,PC,KI
2026-07-13,500.0,525.0,500.0,525.0,17600,0.0059,0.0,-0.0004,0.0,0.0001,0.0016,-0.001,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,-0.0059,0.0,0.0001,-0.0008,-0.0001
2026-07-14,505.0,525.0,505.0,525.0,5800,0.0021,0.0,0.0,0.0,-0.0001,-0.0005,-0.0005,-0.0009,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-15,505.0,525.0,505.0,510.0,3000,0.0,0.0,0.0,0.0002,0.0,0.0009,-0.0001,0.0,0.0,-0.0007,0.0,0.0001,0.0,0.0,0.0,-0.0001,0.0,0.0,-0.0003,-0.0001,0.0,0.0
2026-07-16,530.0,535.0,505.0,505.0,154100,0.0595,-0.0005,-0.0266,0.0,0.0001,-0.0049,-0.001,-0.0168,0.0,-0.0059,-0.0001,-0.0001,-0.0001,-0.0001,0.0053,-0.0021,-0.0014,-0.0046,-0.0007,0.0,0.0,0.0
2026-07-17,520.0,540.0,520.0,540.0,13400,0.0052,0.0005,-0.0007,-0.0002,0.0001,-0.0055,-0.0001,-0.0002,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,525.0,525.0,520.0,525.0,2100,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,525.0,530.0,525.0,530.0,3700,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,520.0,525.0,520.0,520.0,1200,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,520.0,530.0,510.0,520.0,433300,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,500.0,530.0,500.0,530.0,79200,,,,,,,,,,,,,,,,,,,,,,
