Date,Close,High,Low,Open,Volume,RF,PD,AZ,XL,SQ,YP,AT,XC,KK,AK,CP,NI,BQ,DH,GI,OD,CC,KI,PC,GR,DX,QA,YU,FZ,XA,DR,EP,RO,AI
2026-07-13,204.0,206.0,204.0,206.0,6100,0.0,-0.0002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0009,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,208.0,208.0,204.0,206.0,913300,0.0721,-0.0008,0.025,0.007,0.0,0.0032,0.0,0.0,0.0,-0.001,0.0,0.0002,0.0021,0.0,0.0111,-0.0004,-0.0306,-0.1123,0.0313,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,206.0,208.0,206.0,208.0,20100,0.0,-0.0004,-0.0036,0.0028,0.0,-0.0001,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,206.0,206.0,206.0,206.0,36600,0.0,0.0,-0.0073,-0.0002,0.0,0.0022,0.0,0.0,0.0012,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,206.0,206.0,206.0,206.0,109600,0.0206,-0.0016,-0.0144,-0.0017,0.0006,0.0012,-0.0025,0.0,-0.0009,-0.0014,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,206.0,208.0,204.0,208.0,23700,0.0009,0.0001,0.0,0.0002,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-21,206.0,208.0,204.0,206.0,54000,0.0026,-0.0028,0.0,-0.0014,0.0,0.0,0.0,0.0002,0.0,-0.0,0.0,0.0,0.0011,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,206.0,208.0,206.0,208.0,96400,0.0,0.0004,0.0,0.0109,0.0,0.0001,-0.0021,0.0022,0.0008,-0.0014,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,208.0,208.0,204.0,208.0,49400,0.0001,0.0006,0.0,-0.0008,0.0,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-24,204.0,206.0,204.0,206.0,21000,0.0006,0.0021,0.0,0.0003,-0.0006,0.0,0.0,-0.0,0.0001,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
