Date,Close,High,Low,Open,Volume,CP,RG,PD,CC,YP,XA,XL,NI,EP,YB,HD,MG,XC,SQ,OD,BQ,KK,GR,DR,QA,YU,ZP,AG,AT,DH,DX,AZ,IU,HP
2026-07-13,145.0,176.0,140.0,155.0,13705000,-0.0382,-0.002,0.0157,-0.1143,-0.007,-0.0042,-0.05,0.207,-0.0558,0.0044,-0.0002,0.0904,-0.0468,0.0014,-0.0081,0.0086,0.0043,-0.0003,0.0002,0.0,-0.0046,0.0,0.0,0.0002,-0.0002,-0.0,0.0009,0.0,-0.0014
2026-07-14,150.0,154.0,139.0,149.0,4599000,-0.0037,-0.0031,0.01,0.0122,0.0242,0.0063,0.0231,-0.1684,0.0684,0.0024,-0.0001,-0.0013,-0.0159,0.0004,-0.0057,-0.0139,-0.0136,0.0,0.0042,0.0041,0.0015,0.0,0.0539,-0.0002,0.015,0.0,0.0,0.0,0.0
2026-07-15,150.0,156.0,144.0,150.0,1237100,0.0,-0.0001,0.0073,-0.006,0.0214,-0.0019,-0.0526,0.0001,0.008,-0.0018,0.0008,0.0119,0.005,0.0,-0.0011,0.0002,0.0002,0.0015,0.003,0.0002,0.0011,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,151.0,153.0,148.0,150.0,1459400,0.0,0.0,-0.0023,-0.0062,0.0089,-0.1602,0.0034,0.0,0.0117,-0.0001,0.1492,0.0,-0.0042,0.0,-0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,152.0,157.0,150.0,152.0,647900,0.0004,-0.0,-0.0023,0.0054,0.0006,0.0078,-0.0002,-0.001,-0.0385,-0.0015,-0.0,0.0107,0.018,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,155.0,163.0,152.0,152.0,2228100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,155.0,157.0,150.0,155.0,2107900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,153.0,157.0,148.0,156.0,1027100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,151.0,155.0,148.0,152.0,1132100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,148.0,153.0,148.0,151.0,245500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
