Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,YU,LG,AZ,XA,KZ,PC,AT,PI,AK,EP,YP,DH,CC,ES,YB,NI,BQ,HD,SQ,RO,KK,LS,CP,ZP,OD,AI,BK,XL,AG,DX,FZ,TP,IF,PG,GR,CD,PD,DR,SA,TF,PP,YJ,BB,KI,MG,RG,RX,HP,IT,QA,MU,FS,PO,BR
2026-07-13,1715.0,1725.0,1710.0,1720.0,1723300,Barang-Konsumen-Primer,Makanan-Minuman,-0.1564,0.0034,0.4561,0.0014,-0.0687,0.0,0.0,0.0208,0.0,-0.1812,0.0022,-0.0079,0.0535,0.5762,0.0,-0.0349,0.0029,-0.0007,0.0,-0.0329,0.0002,-0.0084,0.0,0.0307,-0.3489,-0.3296,0.0,-0.01,0.0119,0.0,0.0,0.0,0.0089,0.0687,0.0,-0.0009,-0.0007,-0.0786,0.0211,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0005
2026-07-14,1735.0,1740.0,1715.0,1725.0,2657900,Barang-Konsumen-Primer,Makanan-Minuman,-0.0287,0.0,0.1186,0.0,-0.0053,0.0,0.0,0.0007,0.0,-0.0392,-0.0064,-0.2426,-0.1353,0.8177,0.0,0.0106,-0.1598,0.0278,0.0,0.5303,-0.0168,0.016,0.0,0.0241,-0.3917,0.0005,0.0,-0.0359,0.3416,-0.9092,0.0,0.0,0.0827,0.0,0.0,0.0224,0.0149,-0.0044,0.0331,0.0078,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0061,0.0,-0.0791,0.0,0.0,-0.0002,0.0
2026-07-15,1770.0,1780.0,1725.0,1735.0,7534400,Barang-Konsumen-Primer,Makanan-Minuman,-0.1141,3.1,1.3,-0.3622,-0.0949,0.0,0.0,0.1354,0.0,0.4856,0.0034,-0.1261,-0.078,2.3,-0.0088,0.126,0.1156,-0.0352,-0.0002,-0.1025,-0.0057,-0.0508,0.0,-0.0126,-3.1,-0.8687,0.0,-0.3366,-0.4073,-0.5623,0.0041,0.0,-0.1173,-0.0243,0.0,-0.0255,0.0049,-1.8,0.0412,0.0,0.0724,0.0,0.0,0.5073,0.0104,0.0,0.0,0.0,-0.0016,-0.0059,-0.0098,0.0002,-0.0009,0.0,0.0
2026-07-16,1740.0,1785.0,1740.0,1770.0,8045400,Barang-Konsumen-Primer,Makanan-Minuman,0.3639,0.0,1.3,-0.0018,0.1336,-0.177,0.0,0.1009,0.0,0.0242,0.0143,0.199,0.0339,-3.5,0.0087,0.1642,-0.016,0.0526,0.0,0.0499,0.0,0.1321,0.0,0.0321,-1.2,0.0302,0.2489,-1.0,0.5594,0.0,0.0371,0.0,-0.0281,0.0,0.0,-0.0359,-0.0203,-0.1918,0.0238,-0.008,0.0145,0.0418,-0.0002,0.2296,-0.0002,0.0546,-0.0004,2.3,0.0539,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1750.0,1755.0,1725.0,1740.0,5605000,Barang-Konsumen-Primer,Makanan-Minuman,-0.046,1.9,-0.0421,0.0945,0.0549,-0.1956,0.0087,0.0289,-0.0023,-0.4378,0.0044,-0.0917,0.0382,0.3892,0.0087,-0.1037,0.1463,-0.006,-0.0029,0.015,-500.0,0.112,0.0107,-0.0281,-3.4,0.0249,0.0865,0.0091,0.7273,0.004,-0.0146,0.875,0.2692,-1.0,0.0873,0.2009,0.0098,0.2998,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1785.0,1785.0,1745.0,1750.0,3562800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1760.0,1810.0,1760.0,1790.0,3577000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1795.0,1850.0,1740.0,1760.0,16140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1750.0,1815.0,1745.0,1800.0,6515100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1705.0,1745.0,1700.0,1745.0,5145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
