Date,Close,High,Low,Open,Volume,DH,AK,EP,XA,OD,SF,GR,CP,HD,CC,YP,AG,AT,PD,IF,XL,CD,FZ,LG,YB,KI,YJ,ZP,BR,BK,YU,DR,RO,SQ,NI,AZ,XC,BQ,KK,MG,QA,TP,AO,SH,AI,PO,LS,PG,SS,IN,YO,RG,TF,DX,FS,HP,BF,AR,ES,GI,MU,PC,RS,JB
2026-07-13,117.0,120.0,116.0,118.0,7835500,0.0,0.0013,-0.0131,-0.0029,0.0019,0.0,0.0134,-0.1395,-0.0003,0.1278,-0.0315,0.0,-0.0075,0.0231,0.0,0.0544,0.0,0.0,0.0004,-0.0131,-200.0,0.0,-0.0276,0.0352,0.0085,-0.0059,0.0048,-0.0001,-0.0158,0.0005,-0.035,-0.0183,-0.0026,0.0289,0.0012,0.0,0.1292,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,-0.0006,-0.0,-0.118,0.0,0.0,0.0
2026-07-14,117.0,121.0,117.0,119.0,5890600,0.0012,0.0,-0.0012,0.0,0.0055,0.0,0.0042,0.0054,0.0003,0.106,-0.1197,0.0,-0.001,-0.0071,0.0012,0.0106,0.0,0.0,0.0,0.0,-0.0,0.0,0.0024,0.0351,-0.0042,0.001,-0.02,-0.0,0.0088,0.0017,0.0069,-0.0446,-0.0046,-0.0013,-0.0012,0.0,0.0765,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,-0.0083,0.0,-0.0009,-0.0585,0.0119,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,123.0,127.0,117.0,117.0,51244300,-0.0085,-0.0007,0.2381,0.1592,0.0464,0.0002,-0.0454,0.0308,0.0,-1.3,-0.1939,-0.0061,0.0007,0.0308,0.0019,0.4393,0.0006,0.0021,-0.0653,-0.0053,0.0001,-0.0001,0.268,0.0493,-0.0049,-0.001,0.0008,-0.0009,0.009,0.0349,-0.0061,-0.0492,-0.0405,0.2972,0.0002,-0.0,0.0118,0.0122,0.0,0.0,-0.0001,0.012,0.049,-0.0025,-0.0001,-0.0016,-0.0007,0.0014,0.0011,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,123.0,127.0,121.0,123.0,18262000,-0.0435,-0.0597,-0.0331,-0.0547,0.0561,0.0,-0.0141,0.0171,-0.0,-0.1212,0.2801,0.0,0.0046,0.0016,0.0075,-0.062,0.0,0.0,0.0019,0.0112,0.0,0.0,0.0158,0.0,0.0012,-0.1302,0.0544,-0.0002,0.0241,0.0081,-0.0086,0.0357,0.0041,-0.0392,-0.0002,-0.0,-0.0122,-0.0002,0.0001,-0.0063,-0.0001,0.0004,0.0614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,123.0,125.0,122.0,123.0,6611900,0.0248,-0.0299,-0.0152,-0.0125,-0.229,-0.0006,0.0201,-0.0005,0.0003,0.0477,0.0543,0.0061,-0.0002,-0.0175,-0.0025,0.0639,-0.0003,0.0031,-0.0018,-0.003,-0.0,0.122,-0.0097,0.0789,-0.0028,-0.0961,-0.0056,-0.0003,0.0031,0.0012,-0.0013,0.0186,0.0009,-0.0164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,122.0,125.0,120.0,123.0,8959300,0.0142,0.0184,0.0085,-0.1108,-0.0021,0.0,0.0003,-0.033,0.001,0.2027,-0.0328,0.0061,0.0021,0.027,-0.0012,0.0592,0.0,-0.0008,0.007,-0.006,0.0,0.123,0.0006,0.0,-0.0007,0.0062,0.0178,0.0003,0.0143,0.0242,-0.0,-0.0407,-0.0076,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.3088,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0001,0.0
2026-07-21,125.0,125.0,122.0,122.0,8067200,0.0086,0.0053,-0.0117,0.0001,0.0391,0.0,-0.009,0.0027,-0.0014,0.1625,-0.0888,0.0012,-0.0039,-0.0296,-0.024,-0.1109,-0.0028,0.0,0.0015,-0.1241,0.0003,0.0495,0.1012,0.0053,0.0007,0.001,0.0236,-0.0001,0.009,-0.0059,-0.0,-0.0348,0.0035,0.0331,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,124.0,125.0,122.0,125.0,7801000,0.0,-0.0259,-0.0275,-0.0007,0.0492,0.0,0.1194,0.0102,0.0004,0.0773,-0.2267,-0.0013,-0.004,0.0125,-0.0017,-0.0927,0.0,0.0012,-0.001,0.0002,0.0004,0.1973,-0.078,0.0735,0.0028,-0.0062,-0.109,0.001,-0.0322,0.0079,0.0683,-0.0081,-0.0127,0.0006,0.0,0.0,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,123.0,129.0,123.0,125.0,26601600,-0.0233,-0.0004,0.1294,0.0004,0.0039,0.0,-0.0186,0.0433,-0.0005,0.1095,0.0271,-0.1428,-0.0025,-0.1959,-0.0122,-0.1898,-0.0001,-0.0025,-0.001,0.0074,-0.0006,0.0,-0.1504,0.062,0.0235,0.0,0.1096,-0.0008,0.3423,-0.0653,-0.071,0.0879,0.0467,-0.059,-0.003,0.0,-0.0814,0.0,0.0,0.0,-0.0001,-0.0064,0.0252,0.0,0.0,0.0,-0.0063,0.0,-0.0003,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0002
2026-07-24,120.0,123.0,120.0,123.0,7143000,0.0132,-0.0222,-0.0485,-0.0243,-0.0015,0.0,0.0,-0.0049,0.0005,-0.0863,-0.0565,0.0122,0.0014,-0.0091,0.0,-0.0063,0.0,0.0,-0.0012,0.0001,0.0002,0.2203,-0.0052,0.0657,-0.0239,0.0024,0.0632,0.0003,0.0067,-0.0245,0.0019,0.0029,0.0126,-0.0131,-0.0181,0.0001,-0.043,0.0,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.012,0.0
