Date,Close,High,Low,Open,Volume,QA,SQ,XC,XA,KK,ZP,AG,OD,XL,YP,DH,CC,YB,NI,BQ,GR,PD,HP,RO,YJ,AZ,CP,KI,EP,AI,SF,IF,MG,YU,BK,DR
2026-07-13,57.0,59.0,55.0,59.0,14120100,-0.0001,-0.0001,-0.0718,0.004,0.0005,0.0,0.0,-0.0015,0.0646,0.0473,0.0,-0.1494,-0.0025,0.0069,0.0029,-0.0443,0.0011,0.0,0.0,0.0,0.0,0.0001,0.1453,0.0,0.0,0.0,-0.0,-0.0007,0.0,0.0007,-0.0029
2026-07-14,59.0,59.0,57.0,58.0,6803100,0.0,0.0,0.0021,0.0015,-0.0203,0.0,0.0,0.0114,-0.0967,-0.0044,0.0003,-0.0057,-0.0067,0.0,0.01,-0.0001,-0.0101,0.0,-0.0,0.0,0.0,0.0,0.0991,0.0,0.0,0.0086,0.0004,0.0086,0.0,0.0022,0.0
2026-07-15,58.0,60.0,57.0,59.0,4526000,-0.0385,0.0035,0.0104,0.0,-0.0316,0.0,0.0,0.0032,0.0135,0.0089,0.0004,0.0159,-0.0058,0.0058,0.0014,0.0294,-0.0124,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,-0.0002,0.0086,-0.0104,0.0,0.0
2026-07-16,57.0,58.0,57.0,58.0,6308700,-0.0258,0.0,-0.0408,0.0,0.0011,0.0,0.0,-0.0019,0.1564,-0.0025,0.0006,0.0025,0.0,0.0028,-0.0008,0.0112,-0.0105,0.0,-0.0003,-0.0009,0.0033,-0.0015,0.0014,0.0,-0.0855,-0.0085,-0.0003,0.0,0.0,0.0,0.0
2026-07-17,56.0,58.0,56.0,57.0,1834600,-0.0115,0.0005,-0.0053,0.002,-0.0014,-0.0024,0.0001,-0.0,0.0217,0.008,0.0002,0.0021,0.0028,0.0058,-0.0108,0.0101,-0.022,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,56.0,57.0,56.0,56.0,3476000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,57.0,57.0,56.0,57.0,5532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,55.0,58.0,54.0,57.0,12838500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,60.0,60.0,55.0,56.0,35242600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,60.0,66.0,59.0,64.0,47574800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
