Date,Close,High,Low,Open,Volume,XC,QA,SQ,KK,CP,ZP,AT,KI,OD,DX,EP,XL,YP,DH,CC,MG,YB,NI,BQ,PD,HP,RO,DR,LG,HD,PO,AI,TP,YJ,FZ,GR,AZ,AD,IU
2026-07-13,18.0,18.0,17.0,17.0,30398800,-0.0274,0.0,-0.0205,-0.0032,-0.0556,0.0,0.0,0.0,-0.0013,0.0,-0.0014,-0.0756,-0.0825,0.0004,-0.0032,0.0164,-0.0581,-0.0106,-0.0045,-0.0084,-0.003,-0.0001,0.0,0.3231,0.0018,0.0,0.0,0.0,0.0355,0.0,-0.0362,-0.0034,-0.0002,0.018
2026-07-14,19.0,19.0,18.0,18.0,21233900,-0.0041,0.0,-0.0479,0.009,0.0,0.0,0.0,-0.0005,0.0145,0.0,0.0009,0.0461,-0.013,-0.0011,-0.0092,-0.0986,0.0032,-0.0097,-0.0,0.0166,-0.0019,0.0,0.0,0.179,0.0,0.0001,0.0,0.0,-0.0355,-0.0,-0.048,0.0,0.0,0.0
2026-07-15,20.0,20.0,20.0,20.0,32860700,-0.0049,0.0,-0.0425,-0.0076,-0.1294,0.0,0.0,0.0,0.0003,0.0,0.0002,0.0901,-0.0315,-0.0012,0.0039,0.0127,-0.0458,-0.002,0.0,-0.092,-0.0034,0.0,0.017,0.0641,0.14,0.0,0.04,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,21.0,21.0,19.0,20.0,45535000,-0.0126,0.0008,-0.0401,-0.0112,-0.0822,0.0,-0.0032,0.0,0.0106,0.0,-0.0081,-0.0195,0.306,-0.5534,0.0106,-0.0334,0.0001,0.0007,0.0,0.0287,0.0,0.0001,0.0197,0.3884,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,23.0,23.0,22.0,22.0,28948000,0.0062,0.0004,-0.0513,-0.0005,-0.1401,-0.115,0.0006,-0.0,0.005,0.022,-0.0043,0.0735,0.2569,0.0011,-0.0003,-0.0164,-0.0285,-0.0185,-0.0002,-0.0048,0.0,-0.0001,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,22.0,24.0,22.0,24.0,13036700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,20.0,21.0,20.0,21.0,17538300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,21.0,21.0,20.0,21.0,5033700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,22.0,22.0,21.0,21.0,20439400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,21.0,22.0,21.0,22.0,9940300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
