Date,Close,High,Low,Open,Volume,XC,YU,YJ,AZ,KK,PC,SA,ZR,EP,SS,XL,YP,DH,CC,RG,NI,BR,TF,HP,PD,EL,AR,HD,DR,RO,IH,BQ,OD,AK,MG
2026-07-13,180.0,184.0,177.0,184.0,1935300,0.0009,0.0,0.0608,0.0,0.0097,-0.1736,0.0,0.0,0.0004,0.0,0.0063,-0.0011,0.0,0.0005,-0.0631,0.0,0.0,0.1628,0.0,-0.0025,0.0942,0.0,0.0,-200.0,0.0,-0.0946,0.0,0.0,-0.0007,0.0
2026-07-14,183.0,192.0,177.0,182.0,1899400,0.0006,0.0,0.0005,0.0,-0.002,0.0,0.0,-0.1255,0.0003,0.0,0.0092,-0.0055,0.0,-0.0057,-0.1288,0.0002,0.1542,0.0004,-0.0001,-0.001,0.0,0.0,0.1025,0.0,0.0092,0.0,0.0,0.0,-0.0086,0.0001
2026-07-15,183.0,183.0,179.0,181.0,1772500,0.0004,0.0873,-0.0848,0.0,-0.0001,0.0,-0.0931,0.0805,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.1219,0.0,0.0,-200.0,0.0,-0.1259,0.0021,0.0,-0.0001,0.0
2026-07-16,181.0,184.0,177.0,184.0,1661100,-0.0001,0.0,0.0032,0.0,-0.0005,0.0018,-0.1465,0.0,0.0,0.0,-0.0124,0.012,0.0,0.0,0.0,0.0,-0.1326,0.0001,0.0,0.0008,0.144,0.1301,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,179.0,181.0,178.0,180.0,1329000,-0.0005,0.1322,-0.0162,0.0025,-0.001,0.0783,-0.1201,0.0001,-0.002,0.003,0.003,-0.0048,0.0,0.0,-0.0759,0.0004,0.0001,0.0003,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,180.0,181.0,175.0,180.0,1674800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,180.0,181.0,178.0,180.0,1168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,180.0,181.0,174.0,180.0,1553800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,181.0,183.0,173.0,180.0,3279200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,173.0,180.0,173.0,180.0,1760500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
