Date,Close,High,Low,Open,Volume,XC,AZ,XA,KK,CP,AT,AK,EP,OD,XL,YP,DH,CC,YB,NI,BQ,PD,GR,HD,RO,DR,QA,YU,SQ,LG,ZP,MG,AO,TP,AI
2026-07-13,176.0,183.0,174.0,178.0,1398300,0.0032,0.0,0.0,0.001,0.0351,0.0,-0.0102,-0.0027,0.0028,0.0161,-0.0063,0.0044,0.0791,-0.1157,0.0043,0.0019,-0.0345,0.0208,-0.0002,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,173.0,178.0,167.0,176.0,1353100,0.0038,0.0,0.0,0.0073,0.0186,0.0,0.0022,0.0034,-0.0017,0.0458,-0.0122,-0.0043,-0.0689,0.0023,0.0026,0.0001,0.0121,0.0017,0.0001,0.0,0.0,-0.0009,0.0,-0.012,0.0,0.0002,0.0,0.0,0.0,0.0
2026-07-15,173.0,182.0,173.0,173.0,573600,-0.0077,0.0,0.0,-0.0005,0.0,0.0,-0.0002,0.0,0.0,0.0152,0.0009,0.0068,-0.0028,-0.0169,-0.0033,-0.0001,-0.0007,0.0,-200.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0082,0.0
2026-07-16,177.0,197.0,169.0,173.0,1446700,-0.0084,0.0,0.0,-0.0028,0.0044,-0.0055,-0.0019,-0.0009,-0.0002,0.0818,-0.0213,0.0001,-0.0157,-0.0075,-0.0065,-0.0021,-0.0095,0.0077,0.0002,0.0,0.0,-0.0032,-0.0011,-0.0003,-0.0004,-0.0002,-0.0048,-0.0018,0.0,0.0
2026-07-17,177.0,181.0,173.0,178.0,1024300,0.0605,-0.0,-0.0,-0.0071,0.0026,0.0053,-0.0007,0.0013,-0.0006,-0.0159,0.0065,-0.0035,-0.0153,0.0221,0.0043,0.0001,0.0035,-0.0702,-0.0001,0.0004,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,174.0,178.0,173.0,176.0,936300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,172.0,178.0,160.0,175.0,3034800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,168.0,179.0,163.0,173.0,9383200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,166.0,170.0,162.0,169.0,6971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,165.0,167.0,161.0,167.0,1325100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
