Date,Close,High,Low,Open,Volume,GR,XL,CC,DR,PD,YP,XA,KI,KK,AT,SF,XC,SQ,OD,NI,YU,AZ,ZP,YB,LG,RB,BS,DH,DP,BQ,RO,QA,BK,CD,CP,EP,AK,HP,TF
2026-07-13,595.0,610.0,595.0,610.0,922600,0.0,0.0232,0.0178,0.0,-0.0186,-0.0194,0.0,0.0,0.0212,0.0,0.0,0.0629,0.0141,0.0025,0.0039,0.0,0.0145,0.0,0.0,0.0,-0.1068,0.003,0.0007,0.1824,0.0002,0.0,0.0,0.0013,0.06,-0.0298,-0.0597,-0.1728,0.0015,-0.002
2026-07-14,610.0,610.0,595.0,595.0,167500,-0.001,-0.0109,0.0247,0.0,0.0008,0.0001,0.0,0.0,0.0004,-0.0276,0.0,0.0021,0.0161,-0.0006,0.0042,0.0005,0.0,0.0,0.0,0.0006,-0.0133,0.0,0.0012,0.0025,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,605.0,615.0,600.0,610.0,183800,0.0002,-0.0313,-0.0149,-0.0002,-0.0096,0.0011,0.0001,0.0004,0.0114,0.0057,0.0,0.029,0.0113,0.0015,0.0036,0.0,0.0,0.0001,0.0,0.0121,-0.0214,0.0,0.0001,0.0,0.0001,0.0013,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,610.0,615.0,605.0,605.0,353400,0.0,-0.0297,0.0702,0.0001,0.0008,-0.0097,-0.0001,0.0,-0.0024,-0.0052,0.0,-0.0371,-0.0002,-0.0008,-0.0033,0.0,0.0,0.0,0.0,-0.0003,-0.043,0.0,0.0,0.0611,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,615.0,620.0,610.0,615.0,248000,0.0001,-0.0068,0.0284,0.0002,-0.003,-0.0036,-0.0001,0.0001,0.0012,0.0031,0.0003,-0.0269,0.0001,0.0006,0.0031,-0.0066,-0.0022,0.0012,-0.0006,0.0445,-0.0301,-0.0031,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,615.0,620.0,610.0,620.0,205700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,610.0,620.0,610.0,620.0,501000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,610.0,615.0,605.0,615.0,333900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,605.0,615.0,605.0,610.0,617700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,600.0,605.0,600.0,605.0,445800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
