Date,Close,High,Low,Open,Volume,YP,XL,CC,YB,BQ,XC,KK,PD,NI,OD,PC,RO
2026-07-13,605.0,615.0,590.0,615.0,24300,0.0001,0.0052,-0.0109,0.0005,0.003,0.0026,-0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-14,595.0,605.0,580.0,605.0,32300,0.0,-0.0008,-0.0048,0.0005,0.0,-0.001,0.0,0.0,0.0,0.0066,-0.0002,-0.0004
2026-07-15,610.0,615.0,595.0,600.0,23700,0.0002,-0.0072,0.0073,0.001,-0.0,-0.0,-0.0007,-0.0008,0.0,0.0002,0.0,0.0
2026-07-16,610.0,615.0,590.0,610.0,12100,0.0,0.0006,-0.0001,0.0007,0.0,-0.0005,-0.0006,-0.0001,-0.0001,0.0,0.0,0.0
2026-07-17,610.0,615.0,595.0,610.0,24400,0.0001,-0.0082,0.0062,0.0004,0.0015,0.0004,-0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-20,620.0,620.0,600.0,600.0,20600,,,,,,,,,,,,
2026-07-21,610.0,615.0,600.0,605.0,28300,,,,,,,,,,,,
2026-07-22,610.0,615.0,595.0,610.0,27700,,,,,,,,,,,,
2026-07-23,610.0,630.0,600.0,610.0,47700,,,,,,,,,,,,
2026-07-24,605.0,620.0,585.0,620.0,165700,,,,,,,,,,,,
