Date,Close,High,Low,Open,Volume,XL,PD,YU,EP,XC,CP,MG,SQ,LS,AZ,PC,NI,BQ,HP,TP,AG,AI,ID,YB,FZ,YP,AK,CC,OD,KK,LG,RO,XA,DR,SF,AO,KI,PG,GR,SH,SA,DU,MU,DH,IH,ZP,PI,IU,YJ,IF,QA
2026-07-13,71.0,74.0,69.0,71.0,22975500,-0.0581,0.0043,0.0101,-0.0153,0.0005,0.0286,-0.0001,0.0098,0.0,0.0,-0.0714,-0.048,-0.0019,0.0,0.0001,0.036,0.0,-0.0055,0.0011,-0.008,-0.035,-0.015,0.0983,-0.0023,-0.0055,0.0,0.036,0.0,0.0,0.0035,0.07,0.0,-0.1095,0.0014,-0.1943,0.073,0.074,0.0028,0.0,0.0365,0.0002,0.105,-0.0262,0.0,0.0,0.0052
2026-07-14,72.0,74.0,70.0,71.0,17507800,-0.0389,-0.133,-0.0105,0.0725,-0.0768,-0.1029,-0.0081,-0.0014,-0.072,0.0395,0.0358,0.1001,0.0422,0.0,0.0,-0.0352,0.0,0.0,-0.0226,-0.0012,0.0312,0.0653,0.0092,0.0001,-0.0001,0.0,-0.0365,-0.0001,0.0,0.0,-0.0022,0.0,0.037,0.0,0.0154,0.0,0.0442,0.0,0.0,0.0,0.0,0.0,0.0489,0.0,-0.0,0.0
2026-07-15,70.0,74.0,69.0,71.0,34135400,0.0644,-0.0443,0.0011,-0.0282,-0.0334,-0.0373,0.0071,0.0329,-0.1411,-0.0021,0.073,-0.0028,-0.03,0.0,0.0006,0.0,-0.0284,0.0739,0.0026,-0.0038,0.0507,0.0619,-0.0398,0.001,-0.002,0.0019,0.0376,0.0142,-0.0001,0.0018,0.0365,0.0001,0.074,0.0018,-0.1296,-0.105,0.109,0.0018,-0.0091,0.0368,0.0014,-0.0486,0.0,0.0,0.0,0.0
2026-07-16,70.0,73.0,70.0,70.0,6580800,0.1543,-0.025,0.0033,-0.0033,-0.0252,-0.0165,0.0161,-0.0315,0.0,0.0,0.0001,-0.0001,-0.0135,0.0106,0.0004,0.0,0.0,0.0,-0.0012,0.0,-0.0222,-0.0043,-0.0248,0.0029,-0.0021,-0.0,-0.0049,-0.0142,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,71.0,72.0,70.0,72.0,7239100,-0.0062,-0.1532,-0.0033,-0.0,0.0233,0.0339,0.0018,0.0014,-0.0494,0.0001,-0.0001,0.0001,0.0142,0.0007,-0.0012,0.0007,0.0235,-0.0179,0.0119,-0.0004,0.0057,0.0259,0.0092,0.0007,0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,69.0,72.0,69.0,71.0,13789500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,70.0,71.0,66.0,70.0,18729700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,69.0,70.0,67.0,70.0,7791300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,68.0,71.0,68.0,69.0,26246900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,66.0,69.0,64.0,69.0,6430800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
