Date,Close,High,Low,Open,Volume,XC,RO,NI,BQ,IU,KI,OD,XL,IN,CC,PD,SQ,SF,AZ,XA,AT,EP,YP,QA,MG,CP,LG,KK,DH,YB,IF,MU,GR,BR,DR,PO,FZ
2026-07-13,50.0,50.0,50.0,50.0,6168500,0.024,0.0,0.0005,0.0,0.0,0.0,0.0045,0.2272,0.0,0.0045,0.0168,0.0025,0.0,0.0,0.0018,0.0,0.0,0.016,0.0,-0.1322,0.0,0.0,0.005,0.0001,0.0,0.0,0.0,0.0031,0.0,0.0011,-0.175,0.0001
2026-07-14,50.0,50.0,50.0,50.0,6540300,0.0096,0.0003,0.0006,0.0,-0.025,0.0003,0.0031,0.2502,0.0,0.0158,0.0069,0.0017,0.0,-0.0521,0.0,0.0,0.0001,0.0007,0.01,0.0,0.0001,0.0001,0.0003,0.0,0.025,0.0001,-0.2499,0.0005,0.0001,0.0013,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,3047500,0.0067,0.0,0.0059,0.0,-0.025,0.0007,0.0001,0.0592,0.0,0.0081,0.0506,0.0,0.0,-0.0937,0.0,0.0006,0.0001,0.004,0.0,-0.0178,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,2463900,0.0048,0.0001,0.001,0.0,-0.0182,0.0,0.0001,0.0456,0.0,0.0057,0.0107,0.01,-0.0806,0.0169,0.0005,0.003,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,1813700,0.0042,0.0,0.0001,0.0,-0.0019,0.0,0.0003,0.0731,-0.0782,0.0001,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,5034800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,67.0,67.0,50.0,50.0,2772380900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,72.0,76.0,62.0,70.0,4364509300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,71.0,79.0,68.0,70.0,2639569500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,63.0,71.0,61.0,70.0,1248528700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
