Date,Close,High,Low,Open,Volume,QA,SQ,XC,YU,LG,XA,AZ,KK,MI,LS,CP,ZP,AT,AK,BK,OD,XL,YP,DH,CC,TP,YB,BQ,NI,GR,PD,HP,HD,RO,DR,BB,RG,IF,KI,EP,MG,SS,AI,AG
2026-07-13,685.0,685.0,660.0,670.0,681800,0.0,-0.0335,0.1083,0.0,0.0021,0.0,-0.0003,0.0092,-0.017,0.0,-0.0579,0.0,0.0,0.003,-0.0001,-0.1025,0.044,0.0046,-0.0014,-0.0169,0.0068,0.0,-0.0001,0.0354,0.0,0.0172,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,-0.002,0.0,-0.0001
2026-07-14,675.0,690.0,675.0,685.0,1130000,0.0,0.0007,0.0017,0.0,0.0,0.0,0.0374,0.0001,0.0,0.0,0.0058,0.0001,0.0007,-0.0821,0.0,0.0172,0.1218,0.09,0.0001,-0.0002,-0.0019,0.0,-0.0128,0.0046,-0.0009,-0.0367,0.0,0.0001,0.0,-0.2011,0.0,0.0,0.0,0.0005,0.0083,0.0033,0.0385,0.005,0.0
2026-07-15,675.0,680.0,670.0,680.0,371400,0.0,0.0288,0.0202,0.0,0.0001,0.0,0.0,-0.0013,0.0,0.0,0.0,0.0001,0.0,-0.0006,0.0023,-0.0005,0.047,-0.0167,0.0,-0.1087,0.0,0.0,0.0,0.002,0.0003,0.0178,0.0,-0.0,0.0,0.0024,0.0,0.0,0.0,-0.0001,0.0067,-0.0001,0.0,0.0,0.0
2026-07-16,680.0,690.0,675.0,675.0,1138400,-0.0001,-0.0187,-0.1159,0.0,0.0,0.0,0.0176,0.0005,0.0,0.0,0.068,0.0,0.0,-0.0924,0.0,0.0021,0.0072,-0.1212,0.0,0.2077,0.0068,0.0,0.0,0.0269,0.0041,0.0366,0.0,0.0,0.0006,-0.2725,0.2491,0.0005,-0.0069,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,720.0,720.0,675.0,690.0,3609400,0.0094,0.0794,-0.0081,-0.0084,-0.0003,0.2579,0.0169,0.0027,-0.0035,-0.0001,-0.8509,0.5016,-0.0029,-0.1412,0.0608,-0.0222,-0.528,0.1311,0.2308,0.5075,0.0137,0.1001,0.0143,-0.0028,0.0003,-0.1147,0.0029,0.0003,-0.0008,-0.2458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,720.0,735.0,710.0,720.0,2728500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,715.0,730.0,710.0,730.0,887500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,715.0,720.0,700.0,710.0,2695700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,725.0,735.0,715.0,720.0,1622500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,700.0,725.0,700.0,725.0,962800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
