Date,Close,High,Low,Open,Volume,BK,HD,NI,RO,OD,YB,DR,SQ,YP,XC,LG,KK,KZ,AK,AT,ZP,XL,TP,EP,DH,CD,PD,BQ,AZ,GR,CC,DX,CP,XA,HP,IF,KI,PG,YU,AI,RG,PP,AG,FS,QA,RX,AR,MU,LS
2026-07-13,1575.0,1595.0,1555.0,1555.0,574800,0.0,0.0055,0.1646,-0.0008,-0.0005,0.0011,0.001,-0.0043,-0.0383,-0.018,-0.0312,0.0846,0.112,-0.0817,-0.0002,-0.0124,-0.1187,-0.0155,-0.0003,0.0002,0.0,0.0409,-0.0032,0.0,0.0498,-0.0187,-0.0008,0.0,-0.0471,0.0,-0.0025,-0.0002,0.0,0.0,-0.0629,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1600.0,1610.0,1585.0,1600.0,754300,0.0,-0.0061,-0.006,-0.0016,-0.0093,-0.0102,-0.0005,0.001,0.0064,0.0538,-0.0006,0.0211,0.1701,0.1106,0.0152,0.0002,-0.0928,0.0,-0.0005,0.0018,0.0,-0.3427,0.0069,-0.0024,-0.0095,0.2586,0.0198,-0.0561,0.0,0.0,-0.0021,0.0,-0.043,0.0,-0.0801,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1605.0,1610.0,1580.0,1605.0,431000,0.0,0.0003,0.022,-0.0002,0.0089,0.0177,-0.0051,0.001,0.1301,0.0062,0.0024,-0.0046,0.0818,-0.082,0.0002,0.0002,0.0255,0.0276,0.0046,-0.016,0.0,-0.1034,-0.0469,0.0,-0.0161,0.0116,-0.0002,0.0,0.0,0.0,-0.0016,0.0005,-0.0193,-0.0451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1600.0,1610.0,1595.0,1610.0,562600,-0.0361,-0.0015,-0.2267,-0.0005,0.0002,-0.0014,0.0142,0.0013,-0.0194,-0.0201,-0.004,0.0143,0.1943,0.0465,0.0032,0.0002,0.1243,0.0,-0.0011,-0.0006,0.0,0.1209,-0.0336,0.009,0.0,-0.0723,0.0,0.0,-0.1114,0.0005,-0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1610.0,1610.0,1595.0,1605.0,500400,-0.0019,0.0005,-0.2129,-0.0018,-0.014,0.0005,0.0013,0.0488,0.0939,0.0086,0.0002,-0.0042,0.1054,0.0104,0.001,0.0002,-0.1487,0.0257,0.0002,0.0046,-0.0016,-0.0155,0.0805,0.005,-0.0095,0.0557,-0.0002,-0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1640.0,1645.0,1610.0,1610.0,1106800,0.0,-0.001,-0.3174,-0.0193,-0.0183,-0.0129,-0.0069,-0.021,-0.0544,0.0079,0.034,-0.0199,0.1415,-0.1025,-0.0005,-0.0041,-0.2153,0.0008,-0.0003,0.0002,-0.0033,-0.002,0.0,-0.0048,0.0,0.0543,-0.0317,0.0486,0.0,0.0,0.0026,0.0003,-0.0612,-0.1978,-0.0641,0.0,0.0,0.0,0.0,0.0,0.8645,-0.0005,0.0049,-0.0007
2026-07-21,1640.0,1650.0,1625.0,1640.0,1482300,-0.0364,0.002,-0.224,-0.0003,-0.0189,0.0162,-0.0007,-0.0366,0.0975,-0.4668,0.0002,0.0472,0.5119,-0.3112,-0.0168,-0.0002,-0.172,-0.0281,0.0039,-0.0982,0.0,-0.0197,0.0,0.0981,0.0,0.1928,0.0,-0.0493,0.0002,0.0,-0.0007,0.002,0.0,-0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.5253,0.0,0.0,0.0
2026-07-22,1630.0,1640.0,1625.0,1635.0,566200,-0.0222,-0.0011,-0.0968,-0.0007,0.0042,0.0033,0.0002,-0.0397,0.0625,0.0637,0.0175,0.132,0.3131,-0.0705,0.0003,-0.0002,-0.3261,-0.0496,0.0003,0.0007,0.0,-0.0208,0.0,0.0011,0.0325,0.0016,0.0,-0.0298,0.0,0.0,0.0,0.0007,0.0,0.0204,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,1620.0,1645.0,1615.0,1640.0,1385900,-0.006,0.0005,0.0336,0.0002,0.0033,0.0013,-0.1325,0.0005,0.0313,-0.462,0.0,0.1302,0.9179,-0.0603,-0.0,-0.0118,0.124,0.0333,-0.0041,0.0036,-0.0065,0.0043,0.0,-0.0246,0.0,0.0341,0.0245,-0.0471,0.0002,0.0,-0.1607,0.0007,0.0,-0.2337,0.0,0.0,0.0,0.0016,-0.2119,0.0163,0.0,0.0,0.0,0.0
2026-07-24,1610.0,1620.0,1600.0,1605.0,576400,0.0,-0.0011,0.0358,0.0,-0.0405,0.0011,-0.0018,-0.0541,-0.2784,0.0575,0.0,-0.0034,0.1528,-0.1046,-0.0019,-0.001,-0.0126,-0.0027,-0.0326,0.0036,0.0048,0.0213,0.0,0.0081,-0.007,0.1112,-0.0005,0.0,0.0,0.0,0.0,0.0008,0.0,-0.0161,0.1613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
