Date,Close,High,Low,Open,Volume,HD,XL,YU,XC,MG,CP,DH,AZ,PC,BQ,AG,AT,YJ,DU,ZP,YP,CC,KK,DR,PD,EP,NI,LG,RO,SQ,OD,KI
2026-07-13,113.0,115.0,112.0,115.0,1145800,-0.0001,-0.0019,0.0,-0.0001,0.0001,-0.0392,0.0,0.0167,0.0093,0.0332,-0.0034,0.0,0.0,-0.0278,-0.0164,0.0305,-0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007
2026-07-14,114.0,115.0,112.0,113.0,1233800,0.0,0.0046,0.0,-0.0049,0.0,-0.0171,0.0,0.0116,0.0122,0.0114,0.0002,0.0051,0.0,-0.0148,-0.0086,0.0244,-0.0261,0.0006,-0.0001,0.0011,-0.0,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-15,115.0,116.0,113.0,115.0,1178500,-0.0001,-0.0051,0.0007,-0.0003,0.0002,-0.0116,0.0,0.001,0.0112,-0.0257,0.0185,-0.005,0.0,0.0001,0.0149,-0.0023,-0.0001,0.0005,-0.0001,0.0031,-0.0,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-16,117.0,118.0,115.0,116.0,1312700,0.0002,-0.0085,0.0,0.0038,0.0001,0.0202,0.0,-0.0144,-0.009,-0.0163,-0.0033,0.0,-0.0,-0.0001,0.0023,0.0149,0.0085,-0.0005,0.0,0.0012,0.0012,-0.0,-0.0,-0.0,0.0,0.0,0.0
2026-07-17,118.0,119.0,116.0,117.0,1408800,-0.0002,-0.0264,-0.0011,0.0006,0.0,-0.0257,-0.0001,0.0034,0.0145,0.0081,0.0151,0.0027,-0.0,0.0138,0.0182,-0.0423,0.0179,0.0007,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,116.0,119.0,116.0,118.0,1242700,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,118.0,119.0,114.0,115.0,2281900,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,118.0,120.0,117.0,119.0,1134900,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,116.0,119.0,116.0,117.0,1311500,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,116.0,120.0,114.0,115.0,1291700,,,,,,,,,,,,,,,,,,,,,,,,,,,
