Date,Close,High,Low,Open,Volume,IN,BQ,AK,FZ,XL,YP,AZ,YB,ZP,PC,TF,DU,SF,XC,AR,CP,MG,AT,SH,BR,PI,CC
2026-07-13,1980.0,1980.0,1980.0,1980.0,55900,0.0046,0.0,0.0085,-0.0141,0.0,0.0,-0.0184,0.0,0.0,0.0004,0.0071,0.0,0.0,0.0,0.0198,0.0,0.0,0.0,0.0099,-0.0182,0.0004,0.0
2026-07-14,1975.0,1980.0,1975.0,1980.0,65000,0.0218,-0.0113,0.0075,-0.0426,0.0,0.0014,0.0368,0.0002,0.0,-0.0251,-0.0091,0.0,0.0,0.0,0.0111,0.0,0.0,0.0198,-0.0099,0.0,-0.0004,-0.0002
2026-07-15,1965.0,1975.0,1965.0,1975.0,43900,0.0409,-0.0359,0.0035,0.0,0.0,0.0,-0.018,0.0002,-0.0069,0.0161,0.0059,0.0,0.001,0.0,0.0,0.0,0.0,0.0032,0.0098,-0.0198,0.0,0.0
2026-07-16,1965.0,1970.0,1965.0,1965.0,47300,0.012,0.0,0.003,0.0083,0.0,-0.0014,-0.0179,0.0,0.0,0.0221,0.0016,0.0099,0.0,0.0,-0.0132,-0.0203,-0.0118,0.0177,-0.0099,0.0,0.0,0.0
2026-07-17,1965.0,1970.0,1940.0,1970.0,36900,-0.0162,0.0086,0.0053,0.0275,0.0008,-0.0004,0.0076,0.0002,-0.0195,-0.0224,0.0043,0.0093,0.0002,0.0002,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1960.0,1965.0,1940.0,1965.0,47900,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1950.0,1960.0,1940.0,1960.0,31600,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1955.0,1955.0,1950.0,1950.0,47400,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1955.0,1960.0,1935.0,1950.0,48400,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1950.0,1955.0,1950.0,1955.0,42500,,,,,,,,,,,,,,,,,,,,,,
