Date,Close,High,Low,Open,Volume,QA,MG,AK,PC,DH,XA,EP,OD,SF,GR,CP,BB,HD,CC,YP,BS,AG,AT,PD,IF,XL,CD,TP,LG,YB,KI,YJ,RX,DX,ZP,BK,AI,YU,DD,FS,HP,DR,ES,RO,SQ,NI,AZ,XC,BQ,KK,KZ,AO,PP,PG,AF,SH,LS,TS,DP,EL,IH,FZ,AR,IN,RG,IT,RF,ID
2026-07-13,8375.0,8375.0,8100.0,8200.0,13530800,0.0,-0.8141,5.1,-0.009,-0.8512,-0.0931,-0.2802,0.3432,0.0,-0.4354,0.5994,0.0,0.1809,4.3,1.6,-0.0166,-0.1723,-0.0302,-0.29,7.3,-2.5,0.0,0.4544,0.2991,0.3348,0.0023,0.0092,0.0,27.1,-12.1,6.8,0.0491,-34.7,-0.0075,0.1298,-0.148,-0.0518,-0.0158,-0.0378,-0.2748,-1.4,-0.3801,0.3304,0.0041,0.5827,0.0,0.0,0.0,-0.858,0.0,0.0,-0.1784,0.0,0.0,-0.0017,0.1597,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,8425.0,8525.0,8325.0,8375.0,9447300,0.0134,-0.0293,-7.0,-0.0253,0.1967,-0.269,1.1,-1.1,0.0,1.9,-0.2379,2.1,-0.3226,-3.8,-4.2,-0.0169,-0.4756,-0.0919,1.4,5.9,-2.4,0.0017,-0.5088,0.1364,0.0651,0.5445,-0.0419,1.9,-0.011,-0.2248,-6.2,-0.389,4.7,0.0,0.0848,-0.0371,-0.4694,0.0,0.0227,-0.8697,6.2,0.8795,0.7983,0.0386,-0.4661,0.0,0.0339,0.0,0.0,0.0,0.0,-0.0194,-0.0211,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,8475.0,8600.0,8325.0,8425.0,7447900,0.0077,0.0008,-3.9,0.0,-0.361,0.035,-1.4,4.9,0.0,-0.1937,-0.5097,-3.4,-0.6253,-2.5,-0.7229,0.0,0.0545,-0.0212,-3.8,0.0,-0.4392,0.0,-0.5455,0.2977,-0.1537,-1.6,-0.4292,0.0,0.0551,22.7,-1.1,0.0,0.2263,0.0,0.0,-0.1029,-0.5466,0.4238,0.0,-1.4,-0.2058,0.7618,-0.5578,0.0152,0.7705,-5.7,0.0,0.0,0.0,-0.0172,0.0009,-0.0428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,8500.0,8600.0,8475.0,8500.0,5832600,0.0009,0.4134,-2.7,0.0,-0.0509,-0.2113,-1.4,-0.0285,0.0,0.0673,-7.2,0.0,-0.0602,-0.8028,4.2,0.0,-0.0017,0.0935,-4.5,-0.0804,-2.2,0.0,-0.6489,-0.367,0.1274,0.0094,-0.0462,0.0,-0.0103,-0.595,-0.8819,0.2312,6.0,0.0,0.0,-0.0898,0.9535,-0.0086,0.0034,-0.5237,4.6,0.1568,-0.4467,0.0866,0.8069,5.0,-0.034,0.1207,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,8750.0,8800.0,8450.0,8575.0,7489400,0.0078,1.6,0.3704,0.0096,-0.0835,9.1,-0.0173,-1.8,-0.0017,0.7673,-1.0,0.7261,0.3725,-6.7,-0.7152,-0.0174,-0.0522,-0.2056,-0.7488,0.0317,-7.7,0.0218,10.2,-1.6,-0.3093,-0.0139,0.0418,0.0429,0.3229,-1.6,-1.9,-0.1699,0.3993,-0.0079,-0.0436,-0.0307,3.6,-0.4345,-0.0095,0.1556,0.4214,-2.8,0.0253,-0.3187,0.0901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,9050.0,9200.0,8700.0,8800.0,11679800,0.0018,1.7,-9.8,0.0,-1.1,3.9,-0.2023,-0.4305,0.0,-0.5761,-0.8307,2.6,0.2594,27.1,-2.6,-1.2,0.9346,0.0,-3.1,0.7613,-6.1,0.0061,-0.2744,0.0514,-0.2971,0.0,0.0,0.1741,0.0059,-1.7,-3.2,0.0157,-0.3736,0.0,0.0703,-0.0846,-0.3676,0.0,0.0082,-0.4854,3.1,-1.4,-1.7,-0.2962,0.0,-4.3,-0.2745,0.0,0.0,0.0,0.0,0.4489,0.0,0.0,0.0,0.0,0.0055,-0.1373,0.0,0.0,0.0,0.0091,-0.2219
2026-07-21,9000.0,9050.0,8925.0,9050.0,8737300,-0.0081,-2.3,-24.9,-0.0027,-0.0162,1.3,-0.01,-0.0159,0.0,-0.0154,-0.8251,12.0,-0.0208,6.9,-2.6,0.0,-0.8848,-0.0089,0.6338,0.5728,-0.2125,0.0269,-0.2643,21.1,0.0631,0.0058,-0.6921,0.1845,0.0215,-3.3,-5.8,0.2748,-7.2,0.0,0.0,-0.009,0.1329,0.0054,0.0,4.3,0.6465,0.1958,1.1,0.0898,-0.1033,0.0,0.09,0.0,-0.0207,0.0,0.0,-0.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,-0.045,-0.0091,0.0
2026-07-22,9025.0,9200.0,9000.0,9000.0,6457200,-0.0037,1.4,-0.8277,0.0009,-0.5122,1.3,-0.0528,0.1115,0.0,-0.2386,0.4947,1.5,-0.1142,-1.2,-0.6558,0.0,0.4522,-0.0463,-5.5,-0.0119,-0.8384,0.0484,-0.1206,-0.1172,0.0535,0.0026,-0.0009,14.6,-0.154,-6.5,0.2162,0.0,-0.5721,0.0,0.0,0.025,-0.1938,0.0,-0.0127,0.0036,0.3303,-0.6859,-2.2,-0.0055,-0.0246,0.0,0.0,0.0,0.0707,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091,0.0,0.0
2026-07-23,9025.0,9175.0,8875.0,9075.0,10444900,-0.0566,-1.4,-0.0083,0.0,-0.1366,5.4,-0.2095,-1.7,0.0,-0.0637,3.4,-11.3,0.1496,0.2994,-0.8404,-0.009,0.3806,-0.0413,-1.8,0.5433,-11.2,-0.0448,0.1344,11.7,-0.1429,0.0045,0.0,0.0,0.1803,-2.4,2.3,0.8307,-0.0449,0.0,0.0903,-0.041,6.3,0.0,0.0434,-0.3563,-2.1,1.5,-0.2769,0.0217,0.6715,-0.1886,0.0,0.0,0.2633,0.0,-0.0009,-0.009,0.0,0.0,0.0,0.0446,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0
2026-07-24,8825.0,9200.0,8750.0,9025.0,11418000,-0.0027,0.1812,26.8,0.0187,-3.4,0.8703,0.1678,0.9023,0.0,0.1885,2.5,-8.9,0.3539,-6.6,-0.0326,-0.0091,1.5,0.0096,0.164,-0.1253,-4.3,0.0413,-0.4554,1.3,-0.1812,0.0035,0.0107,0.0,-1.1,-12.5,3.8,-0.0307,1.0,0.0,-0.0915,-0.0585,-0.6699,-0.0045,0.0134,0.1281,-1.4,0.1627,-0.4963,0.0944,-0.0617,0.0,0.0885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.0018,0.0,0.0,0.0,0.0
