Date,Close,High,Low,Open,Volume,XL,PD,EP,XC,SQ,CP,DH,NI,BQ,TP,KI,RO,GR,YB,YJ,YP,AK,CC,OD,KK,CD,AZ,RX,AI,HP,DR,LG,XA,AT,ZP
2026-07-13,510.0,520.0,500.0,520.0,590300,0.0455,0.0054,0.0,0.005,0.0006,-0.1012,0.0001,0.001,-0.0007,0.0,-0.0015,0.0002,0.0005,0.0,0.0003,0.0051,-0.0683,0.0929,-0.0006,0.0153,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0002,0.0
2026-07-14,520.0,525.0,510.0,510.0,1037400,0.0177,0.0001,0.0028,0.0318,0.2071,0.0,0.0,0.0012,-0.0001,0.0,0.0003,-0.0001,0.0,0.0,-0.0003,0.0328,0.0036,-0.1609,0.0004,0.0003,0.0,-0.0018,-0.1032,-0.0715,0.0001,0.0,0.015,0.0259,-0.0006,-0.0005
2026-07-15,510.0,520.0,505.0,520.0,643100,0.1102,0.0059,0.0,0.009,0.0003,0.0,-0.0024,0.0052,0.0,0.0,0.0002,0.0001,0.002,0.0116,0.001,0.011,0.0,0.0497,0.0004,0.0124,0.0,-0.1017,0.0,-0.1149,0.0001,0.0001,0.0,0.0,0.0,0.0
2026-07-16,510.0,510.0,505.0,510.0,512400,0.0859,0.0029,0.0,0.0111,0.0014,0.0,0.0006,0.0074,0.001,0.0,0.0001,0.0002,0.0015,0.0001,-0.0005,0.0123,0.0017,0.055,0.0002,0.0064,0.0001,0.0008,-0.1013,-0.0868,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,515.0,515.0,505.0,515.0,638600,-0.0113,0.0044,-0.0,0.0061,0.0068,-0.0771,0.001,0.0102,0.0022,0.0306,0.0001,0.0052,0.0045,-0.0001,-0.0005,0.0181,0.002,-0.0097,0.0038,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,520.0,525.0,515.0,515.0,526900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,520.0,525.0,515.0,520.0,649900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,530.0,530.0,515.0,520.0,1170600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,535.0,535.0,520.0,535.0,2025100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,525.0,535.0,520.0,535.0,958900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
