Date,Close,High,Low,Open,Volume,NI,RO,XA,IN,OD,YB,QA,DR,SQ,YP,YU,XC,KK,XL,YJ,ZP,AI,TP,PD,BQ,MG,GR,CC,DX,CP,GI,HP,AT,EP,SF,AZ,PO,MU,KI,BK,JB,DH,RG,AO,ID,ES,LG,FZ,AG,HD
2026-07-13,69.0,74.0,66.0,67.0,44729500,-0.05,-0.0003,0.0613,0.0,-0.1172,0.0215,0.0001,0.0002,-0.0629,-0.0704,0.0034,-0.0403,-0.0096,0.1621,-0.0001,0.0025,0.0003,0.0045,0.0201,0.0105,0.0332,-0.0074,-0.0311,-800.0,0.0404,-0.0002,0.0,0.0002,0.0091,0.0,0.0001,0.0,0.0,0.0,0.001,0.0008,0.0102,0.0049,0.0042,0.0001,-0.0007,-0.0007,-0.0,0.0,0.0002
2026-07-14,68.0,71.0,68.0,69.0,9249700,0.0018,0.0,0.0,0.0,0.0165,-0.0158,0.0,0.0,-0.0024,0.0344,-0.0035,-0.0147,0.0015,-0.0178,0.0,0.0,0.0,0.0,-0.0031,0.0248,-0.0357,0.0069,-0.0054,0.0,-0.0002,0.0,0.035,-0.0004,-0.001,0.0,-0.0001,0.0,0.0,0.0024,-0.001,-0.0008,-0.0168,-0.0048,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,69.0,71.0,67.0,68.0,8596200,-0.0013,0.002,0.0007,0.0,0.0094,0.0,0.0,0.0,0.0074,0.005,0.0068,0.0242,0.0176,0.0597,0.0,-0.0028,0.0034,0.0,-0.002,-0.0028,-0.1395,0.0,0.0117,0.0,-0.0003,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,68.0,69.0,67.0,69.0,4112800,-0.003,-0.0,0.0,0.0,-0.0459,0.0005,0.0005,0.0,0.0243,0.0048,0.0,0.0198,0.0219,0.003,0.0,0.0034,0.0,0.0,-0.0185,-0.0122,0.0,0.0,0.0247,0.0,-0.0224,-0.0,-0.0005,-0.0002,-0.0042,0.003,-0.0,0.0003,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,67.0,69.0,66.0,68.0,8116000,0.0134,0.0004,-0.0613,-200.0,-0.0072,0.0035,-0.0,-0.0034,-0.0007,0.0177,0.0032,0.0708,0.0042,0.0805,0.0,-0.0027,-0.0,0.0,-0.0124,-0.137,0.0047,0.0133,0.0149,-0.0,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,69.0,66.0,67.0,6874600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,67.0,69.0,66.0,68.0,9786300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,67.0,68.0,66.0,67.0,6944600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,67.0,71.0,66.0,67.0,18849900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,64.0,67.0,63.0,67.0,6463900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
