Date,Close,High,Low,Open,Volume,QA,AK,EP,YP,OD,NI,XC,GR,PD,XL,YU,CC,KI,CP,KK,IF,HP,DR,BQ,CD,YB,DH,SQ,AT,LG
2026-07-13,278.0,282.0,272.0,278.0,37100,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0001,0.0,0.0017,0.0015,0.0,-0.003,0.0,-0.0007,-0.0007,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0025,-0.0001,0.0,0.0
2026-07-14,270.0,284.0,270.0,284.0,178100,0.0,-0.0014,0.0003,0.0012,0.0,0.0,-0.0002,0.0,0.0011,0.0312,0.0,-0.04,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,-0.0001,0.0,0.0
2026-07-15,268.0,276.0,262.0,270.0,160500,0.0,-0.0003,0.0003,0.0012,0.0,0.0,0.0002,0.0,-0.0005,-0.0029,0.0062,-0.0007,0.0,0.0,0.0004,0.0,0.0,-0.0038,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-16,268.0,280.0,266.0,270.0,94800,0.0,-0.0024,-0.0003,-0.0009,0.0,0.0,0.0005,-0.0011,0.0,0.0042,0.0034,-0.0071,0.0002,0.0001,0.0037,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,268.0,276.0,268.0,270.0,65400,0.0,-0.002,-0.0002,0.0033,-0.0,0.0,0.0003,0.0002,0.0014,0.0008,0.0025,-0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,276.0,280.0,268.0,272.0,292300,0.0,-0.0019,-0.0,0.0004,-0.0019,-0.0,0.0001,0.0,0.0,-0.0036,0.0157,-0.0576,0.0,0.041,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0067,0.0,0.0
2026-07-21,276.0,280.0,274.0,276.0,40900,0.0,-0.0001,0.0,-0.0003,-0.0,0.0026,-0.0003,0.0001,0.0003,-0.0062,0.003,-0.0005,0.0,0.0,-0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0016,0.0
2026-07-22,274.0,278.0,268.0,278.0,200500,0.0,-0.0017,-0.0,0.0019,-0.0,0.0024,0.0036,0.0,0.0,0.0017,0.0082,0.0262,0.0,0.0,-0.0,-0.0349,0.0,-0.0001,0.0,0.0,0.0,0.001,-0.0067,-0.0016,0.0
2026-07-23,272.0,274.0,272.0,274.0,81600,0.0,-0.0001,0.0,-0.0005,0.0,0.0,0.0003,0.0003,-0.002,0.0005,0.0034,0.0047,0.0,0.0,0.0,-0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2026-07-24,270.0,274.0,266.0,274.0,55900,0.0,0.0,0.0005,-0.0009,0.0,0.0044,-0.0014,0.0,0.0,-0.0007,0.0028,-0.0058,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
