Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,XC,SQ,MG,CP,LS,SF,AO,TP,RG,RO,LG,HP,KI,DX,XA,GR,YB,SA,CC,KK,DH,AZ,ZR,NI,BQ,BK,AG,AI,ES,AT,FS,YJ,ZP,AK,YP,IF,OD,DR,AD,MI,SH,IN,QA,BR,CD,PG,BS,OK,SS,PC
2026-07-13,422.0,432.0,388.0,394.0,27469100,0.0137,0.252,-0.1165,0.0036,-0.0753,-0.0879,-0.2335,0.2603,0.4011,-0.0006,0.0,-0.046,-0.0351,0.0,0.0017,0.0091,0.0012,0.0,-0.0006,-0.2405,-0.1232,-0.1318,0.0,0.4517,-0.2043,-0.0516,0.0761,-0.0004,-0.0006,0.3997,-0.1264,-0.0001,-0.0001,0.0,0.0157,-0.0004,0.0423,-0.3431,-0.0548,-0.0694,0.0032,-0.269,0.2819,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,-0.0021,-0.0022
2026-07-14,464.0,468.0,414.0,428.0,36152300,-0.0171,-0.5255,-0.2388,-0.0277,0.0793,0.2043,0.0694,-0.1995,-0.25,0.0,0.0,0.0505,0.0042,0.0,-0.0303,1.6,-0.1056,-0.1412,0.0,-0.1384,0.074,0.3686,0.0,-0.6061,-0.2754,1.4,-0.1725,0.0,-0.1442,-0.4198,0.4724,0.0027,-0.5236,0.0,-0.0343,0.046,-0.1564,0.0199,0.2405,-0.2712,0.2396,-0.1243,-0.2391,0.0,-0.1356,0.0,-0.0224,0.0013,0.0,-0.0176,0.0084,0.035,-0.0446,0.0,0.0
2026-07-15,460.0,470.0,450.0,470.0,14982600,-0.0,-0.2283,0.0262,0.0051,-0.0069,0.102,0.0716,0.0004,0.1075,-0.0041,0.0,0.1745,0.0012,0.0,-0.0015,0.1503,0.0125,0.0009,-0.0061,0.0479,0.3179,0.0183,0.0,-1.1,0.1717,0.002,-0.0096,0.0,-0.0286,0.3244,-0.0674,0.0037,-0.012,0.0,0.0007,0.0604,-0.0009,0.0162,-0.7316,0.4948,0.0,0.1222,-0.0504,0.0194,0.0023,0.0,0.0,-0.0013,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,462.0,468.0,452.0,460.0,13708700,0.0,-0.3149,0.0687,0.1833,-0.0414,-0.1279,0.0993,0.1088,-0.0653,0.0,0.0,0.3801,0.0071,0.0,-0.0007,0.3763,0.0495,0.0015,-0.005,0.0005,0.0159,0.0801,0.0,-0.4149,-0.1678,-0.0037,-0.0031,0.0,0.0249,0.0695,0.0191,0.0004,0.0045,0.0001,-0.0012,0.1032,0.0013,0.0063,0.0038,-0.4374,0.0021,-0.0034,0.0486,-0.0192,-0.0023,-0.0009,-0.0457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,464.0,480.0,456.0,464.0,16326600,0.0285,-0.1695,-0.0883,0.5139,0.4934,-0.0343,0.1095,0.1054,-0.0294,-0.0002,0.0916,0.4736,0.0189,0.0094,0.0001,-1.8,-0.0009,-0.0008,-0.001,0.0043,0.0265,-0.1116,0.0131,0.7129,-0.0711,0.0094,-0.0182,0.0093,0.1442,0.0049,0.1991,-0.0064,-0.0003,0.0006,0.0073,-0.0774,0.0003,0.0111,0.0249,-0.113,0.0011,-0.4477,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,472.0,482.0,464.0,464.0,11784600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,478.0,490.0,472.0,472.0,14571900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,488.0,488.0,472.0,478.0,14219100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,492.0,515.0,486.0,490.0,21067800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,468.0,490.0,460.0,488.0,11346300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
