Date,Close,High,Low,Open,Volume,CP,GR,XL,DR,YP,PD,CC,IF,XA,EP,KI,KK,FS,AT,DX,XC,SQ,TP,OD,QA,BQ,AK,FZ,NI,AZ,YB,ZP,HP,LG,RO,DH,AO,AI,MU,BK,AG,YJ,MG
2026-07-13,141.0,142.0,139.0,142.0,3229500,-0.0012,0.0,-0.0398,-0.0042,-0.0298,-0.0011,0.0666,0.0,0.0,0.0,0.0,-0.002,0.0,0.0041,-0.0011,-0.0217,0.0001,0.0009,-0.0,0.0,0.0051,0.0385,0.0,0.0106,-0.0,0.002,-0.0028,0.0035,0.0001,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,-0.0279,-0.0006
2026-07-14,144.0,148.0,139.0,140.0,7969600,-0.0785,-0.0001,-0.084,0.0008,0.034,0.0,0.1687,0.0014,0.0,-0.0028,0.0,-0.0114,0.0,-0.0039,0.0,-0.0358,0.0044,0.0,-0.0006,0.0005,0.036,-0.0227,0.0,-0.0033,0.0,-0.0241,0.0014,0.0166,0.0001,0.0,0.0003,0.0,0.0,0.0,-0.0,0.0029,0.0,0.0
2026-07-15,146.0,147.0,142.0,144.0,6112900,0.0087,0.0342,0.1474,0.0004,-0.0415,-0.0047,-0.0175,0.0,-0.0025,0.0,0.0,0.001,0.0,-0.0048,0.0,0.007,-0.0046,0.0004,-0.0068,0.0029,-0.0984,-0.0083,0.0,-0.0213,0.0027,-0.0063,0.0015,-0.0095,-0.0001,0.0004,-0.0006,-0.0011,0.0,0.0,0.0214,0.0,0.0,0.0
2026-07-16,148.0,150.0,145.0,146.0,10492000,-0.0329,-0.0317,0.0816,-0.0024,0.1008,-0.0149,-0.1659,0.0,-0.0004,0.0009,0.0,-0.0126,0.0,-0.0026,0.0251,0.0712,0.0003,0.0,-0.0,-0.0036,0.0656,-0.0892,0.0003,0.0251,0.0059,0.0095,-0.0071,0.0074,0.0111,0.0001,-0.0005,-0.0089,-0.003,-0.0075,-0.0217,0.0,0.0,0.0
2026-07-17,147.0,152.0,143.0,148.0,9637000,0.0038,-0.0017,0.1352,0.0163,0.0583,-0.0248,-0.032,-0.0015,-0.0,-0.0984,-0.0001,-0.0338,0.0022,-0.0007,0.0048,0.0167,-0.0119,0.0117,0.0348,0.0121,0.0102,-0.0788,0.0003,-0.0033,-0.0059,0.0017,-0.001,-0.0143,0.0004,0.0003,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,144.0,148.0,143.0,147.0,6096500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,147.0,148.0,143.0,144.0,4444400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,148.0,149.0,145.0,147.0,5155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,147.0,156.0,146.0,150.0,17082000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,140.0,147.0,140.0,145.0,5234100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
