Date,Close,High,Low,Open,Volume,OD,QA,CP,XC,PD,CC,XL,XA,YP,NI,AZ,KK,AT,MG,RO,DH,SQ,CD,DR,EP,AG,AI,HP,GR,IF,KI,SF,TP,YB,LG,DX,GI,BQ,ZP,PC
2026-07-13,50.0,51.0,50.0,50.0,13085400,0.003,0.0011,-0.0003,0.1271,0.0182,0.0187,-0.0815,0.0009,-0.1143,0.0236,-0.0047,0.0394,0.0,-0.0295,0.0006,-0.0296,0.013,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0395,0.0,0.0,-0.0946,0.0025,0.0,0.003,-0.0025,0.0513,0.0,0.007
2026-07-14,50.0,50.0,50.0,50.0,3811900,-0.099,0.0,-0.0317,0.0111,0.0527,0.0032,0.114,-0.0497,0.0004,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,14618100,-0.0502,-0.0028,-0.0415,0.0503,0.0042,0.0039,0.0901,-0.0003,0.1103,-0.011,0.0003,0.005,0.0,0.0209,-0.0,0.0002,0.0009,0.0,0.003,0.0,0.0,0.0,0.0,-0.015,-0.0,0.0,0.0001,-0.1195,-0.0495,0.0005,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,3581900,0.0018,0.0,0.0,-0.0527,-0.0003,-0.0065,0.05,0.0014,-0.0054,0.0058,0.0,0.001,0.0,-0.0002,0.0001,-0.0021,0.0003,0.005,-0.0,0.0003,0.0,0.0006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,2229400,0.0,0.0001,0.0015,-0.0478,0.0188,0.024,0.0024,0.001,-0.0113,-0.0004,0.0,-0.0,0.0,-0.0146,0.0253,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,1882000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,50.0,54.0,50.0,50.0,388877700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,55.0,56.0,50.0,51.0,393543300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,52.0,55.0,51.0,54.0,170310400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,51.0,52.0,50.0,51.0,70438900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
