Date,Close,High,Low,Open,Volume,NI,RO,XA,IN,OD,YB,QA,DR,SQ,YP,YU,HP,JB,LG,KK,XL,XC,YJ,ZP,AT,EP,CD,TP,DH,SF,PD,BQ,AZ,IF,KI,MI,GR,CC,AO,DX,CP,FS,IU,FZ,MG,AR
2026-07-13,22.0,22.0,22.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14,22.0,22.0,22.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,22.0,22.0,22.0,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,20.0,21.0,20.0,21.0,47487100,0.0068,-0.0147,-0.0211,0.0,0.0069,0.0004,-0.0,0.0003,0.0218,0.0147,0.0031,0.001,0.0,0.0017,0.0492,-0.0602,0.0195,-0.0004,0.0,0.0022,0.0079,0.0,0.0048,0.0006,-0.0,0.0043,-0.0119,0.0499,0.0,0.0002,0.0,0.0195,0.0694,0.0014,0.002,-0.022,0.002,-0.1,0.0015,-0.0916,0.0305
2026-07-17,20.0,20.0,20.0,20.0,21919400,-0.0092,0.0,-0.0294,0.0,-0.0024,-0.011,-0.0,0.0,0.0326,-0.0031,0.0016,0.0,-0.0003,0.0002,0.003,0.0454,-0.0022,0.0001,0.0095,-0.0037,0.0061,0.006,0.0054,-0.001,0.004,-0.0091,-0.0003,0.0004,-0.0014,0.0001,0.004,-0.0003,-0.0468,0.0014,0.001,-0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-20,20.0,20.0,20.0,20.0,21816900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,20.0,20.0,20.0,20.0,25858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,22.0,22.0,21.0,21.0,26514400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,24.0,24.0,24.0,24.0,16718600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,23.0,24.0,23.0,24.0,38534500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
