Date,Close,High,Low,Open,Volume,ZP,XC,NI,GR,YP,BQ,XL,KI,RO,CC,PD,OD,KK,LG,CP,HP,DR,AZ,SQ
2026-07-13,280.0,290.0,280.0,280.0,28100,0.0,-0.0002,-0.0,0.0055,0.0,0.0,-0.0064,0.0,0.0,0.0,0.0002,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,284.0,294.0,282.0,282.0,251500,-0.0,-0.0408,0.0,0.0635,-0.0001,-0.0,-0.001,0.0005,0.0,-0.0234,-0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,282.0,288.0,282.0,284.0,10200,-0.0009,0.0003,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0006,0.0,0.0,0.0014,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,284.0,294.0,282.0,290.0,63700,0.0,-0.0034,0.0,0.0047,-0.0001,0.0,-0.0097,0.013,-0.0003,-0.0035,0.0001,-0.0009,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,286.0,292.0,284.0,284.0,8300,0.0003,-0.0007,-0.0001,0.0003,0.0,0.0002,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,290.0,294.0,288.0,290.0,38000,0.0,0.0097,0.0,-0.0006,0.0001,0.0001,-0.0,0.0,0.0,0.0,-0.0004,0.0,-0.0088,0.0,0.0,0.0,0.0001,0.0,-0.0001
2026-07-21,296.0,296.0,290.0,292.0,61500,0.0,-0.0009,-0.0,-0.0002,-0.0009,0.0,-0.007,0.0171,0.0,-0.0001,-0.0001,0.0,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,292.0,296.0,286.0,296.0,47100,0.0,-0.0102,0.0,0.0,0.0001,0.0,0.0011,0.0,0.0,0.0073,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.001
2026-07-23,290.0,292.0,284.0,292.0,1020500,0.0,0.0,-0.0003,0.284,0.0001,0.0,0.0023,0.0,-0.0001,0.0021,-0.0044,0.0001,-0.2838,0.0,0.0,0.0,0.0,0.0001,0.0
2026-07-24,290.0,300.0,288.0,300.0,24700,0.0003,-0.0003,0.0,0.0,-0.0006,0.0,-0.001,0.0,-0.0003,-0.0003,0.0,0.0,0.0015,0.0,0.0006,0.0001,-0.0001,0.0,0.0
