Date,Close,High,Low,Open,Volume,CD,ZR,CP,GR,IN,XL,CC,YP,IF,AO,KK,AT,DX,SH,XC,FZ,MU,AZ,IH,HP,PC,BK,MG,YJ,PD,DR,XA,EP,KI,AG,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,PG,YB,ZP,LG,SA,HD,RB,ID,RO,DH,JB,FS,SF,LS,MI,BR,GA,RG,AH,EL,PO,II
2026-07-13,75.0,76.0,71.0,72.0,154538100,-0.0434,-0.1447,-0.3037,-0.0151,1.1,0.5845,0.0128,0.0685,0.0,0.0041,0.0388,-0.0081,0.0,-0.162,0.3104,0.0001,-0.1297,0.0533,-0.1044,-0.1339,-0.1085,0.0858,-0.4232,0.0232,0.2071,0.0942,-0.0119,-0.1493,0.0321,0.0,-0.0083,-0.2505,-0.0014,0.1545,0.0004,0.0008,0.6636,0.136,-0.0044,0.0148,-0.2835,0.1951,0.0024,-0.3078,0.0,0.0004,-0.108,-0.0143,-0.0029,0.0,0.0,0.0143,0.0,-0.162,-0.8966,0.0,0.0,0.0,0.0,0.0,-0.0219
2026-07-14,71.0,76.0,71.0,75.0,212534200,0.0,-0.0004,0.0609,-0.002,-1.2,3.5,0.0332,0.1416,0.0,0.0,0.049,0.0,0.0,0.0197,0.8807,0.032,-1.3,-1.7,0.0,0.0832,-0.1855,-0.0803,0.0269,0.0096,0.2785,-0.057,0.0836,0.0149,0.1208,-0.002,0.014,0.0858,-0.0342,0.131,0.0,0.0228,0.0656,0.1703,0.0115,0.1558,0.154,-0.0667,0.03,0.0,0.0,-0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-1.1,0.0,0.0,0.0,0.0,0.0
2026-07-15,68.0,71.0,67.0,71.0,303047800,-0.042,-0.0806,0.1696,0.0499,-4.7,2.4,1.6,0.7856,0.0,-0.0638,0.0492,-0.0009,0.0051,-0.132,0.4948,0.0,-1.5,-0.7572,0.0,0.0339,-0.1957,-0.023,-0.0824,0.0,-0.0009,-0.027,-0.0019,-0.03,0.0295,0.0,-0.005,0.2606,0.0069,0.1269,0.002,0.027,1.3,0.6767,0.0,-0.067,-0.1295,0.2306,0.0342,0.0,0.0,0.0082,-0.0184,0.0063,0.0231,-0.0001,0.0,-0.0272,0.0068,-0.0184,-0.409,0.0,-0.0003,0.002,-0.0001,0.0044,0.0
2026-07-16,64.0,68.0,60.0,68.0,720780600,0.0,-0.0124,-0.0583,0.3592,-5.6,7.2,0.4062,2.6,0.0,-0.0144,0.2215,0.0456,-0.0052,-0.015,1.9,0.1846,-2.2,-4.0,0.0,-0.0371,-0.9371,0.4018,-0.3287,0.1703,-0.3494,0.0253,0.2675,0.0607,-0.0284,0.0097,-0.0001,0.2314,0.0,0.3653,0.0,0.0,-0.5232,0.2767,0.2189,0.0,0.1224,-0.2723,0.0792,-0.0187,0.0142,0.0,0.0073,0.0138,-0.073,0.0066,-0.0025,-0.0147,0.0159,-0.001,-0.605,-0.1932,0.0,0.0,0.0,0.0,0.0
2026-07-17,66.0,68.0,61.0,63.0,455210600,0.0005,0.0006,0.0111,0.3798,-0.47,2.4,-1.3,-1.1,-0.003,0.0312,0.0287,0.0013,0.0027,0.0065,1.1,-0.2167,-1.2,-0.2035,-0.0095,-0.0075,-0.2826,-0.5804,0.4446,0.1456,0.3834,-0.008,-0.0829,-0.0036,0.0154,0.0006,-0.0097,-0.083,0.0036,-0.0671,0.0014,0.2035,0.6008,-0.1089,-0.2055,0.0002,0.4237,0.003,-0.0466,-0.0013,0.005,-0.0,-0.0066,0.0061,-0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,70.0,70.0,64.0,67.0,549206100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,80.0,83.0,69.0,70.0,1175767600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,80.0,83.0,75.0,80.0,992736600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,77.0,84.0,77.0,80.0,903850400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,72.0,77.0,70.0,75.0,446574500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
