Date,Close,High,Low,Open,Volume,OD,XC,XL,CC,YP,PD,NI,EP,PG,KK,DH,SQ,CP,HD,GR,AZ,LG,RO,LS
2026-07-13,244.0,250.0,240.0,242.0,214900,-0.0005,-0.0127,-0.0012,-0.0078,0.0076,-0.0002,0.0,0.0005,0.0004,0.0024,0.0,0.0007,0.0,-0.0,0.0,0.0,0.0099,-0.0,0.0007
2026-07-14,246.0,254.0,242.0,244.0,208400,0.0014,-0.002,-0.0168,-0.0057,0.0012,-0.0001,-0.0008,0.0002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0228,-0.0002,0.0,0.0,0.0
2026-07-15,246.0,252.0,240.0,248.0,71000,-0.0007,-0.0001,-0.0045,0.0018,0.0002,0.0025,-200.0,0.0,-0.0001,0.0001,0.0,0.0,0.0,-0.0,0.001,0.0,0.0,0.0,0.0
2026-07-16,248.0,250.0,244.0,246.0,96700,0.0023,0.0023,0.0012,0.001,-0.0002,-0.0086,0.0,0.0,0.0,0.0,0.0,0.0021,0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-17,250.0,254.0,246.0,254.0,55200,-0.0052,-0.0008,0.0016,0.0007,0.0021,0.001,0.0011,-0.0,-0.0004,0.0001,-0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,254.0,258.0,248.0,258.0,197600,,,,,,,,,,,,,,,,,,,
2026-07-21,254.0,258.0,244.0,256.0,592200,,,,,,,,,,,,,,,,,,,
2026-07-22,252.0,256.0,242.0,254.0,218700,,,,,,,,,,,,,,,,,,,
2026-07-23,250.0,256.0,246.0,252.0,187300,,,,,,,,,,,,,,,,,,,
2026-07-24,248.0,250.0,242.0,250.0,81800,,,,,,,,,,,,,,,,,,,
