Date,Close,High,Low,Open,Volume,QA,SQ,XC,YU,RO,KK,CP,ZP,AT,KI,OD,EP,XL,YP,CC,YB,BQ,NI,JB,GR,PD,DR,LG,YJ,DH,TP,IF,XA,MG,HP,SF
2026-07-13,102.0,105.0,101.0,101.0,1294100,0.0,0.0003,-0.0074,0.0002,0.0,0.0041,0.0,0.002,-0.0278,0.0,0.0006,0.0031,-0.0093,0.0092,-0.0163,0.0,0.0204,-0.0021,0.0002,0.0118,0.0184,0.0,-0.0006,0.0,0.0001,-0.008,0.0,-0.0004,-0.0034,0.0,0.0049
2026-07-14,101.0,103.0,100.0,103.0,2223600,0.0,0.003,0.0029,0.0008,0.0,0.0996,0.0,0.002,-0.0007,-0.0,0.0037,0.003,-0.006,0.0175,0.0184,0.0067,0.0,-0.0035,0.0,-0.1731,0.0006,0.0002,0.0,0.0015,0.0,0.0,0.0,0.0041,0.0194,0.0001,0.0
2026-07-15,102.0,103.0,101.0,102.0,847400,0.002,0.0,-0.0038,0.0,0.0,0.0056,-0.0003,0.0,0.0005,0.0,0.0096,0.0,0.0149,0.0007,0.0047,0.0,0.0082,-0.0022,0.0,-0.0388,-0.0009,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,102.0,105.0,101.0,102.0,921500,0.0021,0.0007,0.0002,0.0001,0.0,0.0104,0.0001,0.0,0.0004,0.0,-0.0022,0.0008,0.0078,-0.0033,0.0008,-0.0024,0.0082,-0.0013,0.0,-0.0353,0.0087,0.0,0.0005,0.0001,0.0038,0.0004,-0.0007,0.0,0.0,0.0,0.0
2026-07-17,100.0,103.0,100.0,103.0,2280700,0.0025,0.0095,0.0002,0.0001,-0.0,0.026,-0.0001,-0.0005,-0.0,-0.0015,0.0011,0.0012,0.0304,-0.0647,0.0324,0.0056,0.0239,0.0021,0.0004,-0.0714,0.0076,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,101.0,102.0,100.0,101.0,461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,103.0,104.0,101.0,101.0,1018500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,103.0,105.0,102.0,103.0,1274900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,102.0,105.0,101.0,103.0,1376900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,101.0,103.0,100.0,102.0,913300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
