Date,Close,High,Low,Open,Volume,XC,KK,XL,YP,DH,CC,PD,DR,RO,YU,AZ,AT,EP,CP,BQ
2026-07-13,181.0,188.0,181.0,188.0,22500,-0.0009,0.0007,-0.0023,-0.0006,0.0,0.0,0.0,-0.0001,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0025
2026-07-14,181.0,182.0,181.0,182.0,8500,0.0,0.001,0.0002,-0.0001,0.0001,-0.0006,0.0,-0.0001,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0
2026-07-15,183.0,183.0,180.0,180.0,13700,-0.0003,0.0015,0.0001,-0.0006,0.0004,-0.0009,0.0,-0.0,0.0,0.0001,-0.0001,-0.0001,0.0,0.0,0.0
2026-07-16,183.0,183.0,180.0,183.0,1300,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,181.0,182.0,180.0,181.0,47500,-0.0,0.0005,0.0017,0.0,0.0059,-0.0001,-0.0078,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,187.0,188.0,181.0,181.0,32500,,,,,,,,,,,,,,,
2026-07-21,186.0,187.0,183.0,187.0,43700,,,,,,,,,,,,,,,
2026-07-22,187.0,191.0,180.0,180.0,122100,,,,,,,,,,,,,,,
2026-07-23,186.0,194.0,186.0,194.0,28300,,,,,,,,,,,,,,,
2026-07-24,185.0,186.0,182.0,186.0,2700,,,,,,,,,,,,,,,
