Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,HD,OD,YB,DR,SQ,YP,YU,ES,HP,XC,KK,XL,AK,AT,ZP,YJ,AI,TP,EP,DH,PD,BQ,AZ,IF,KI,LS,GR,CC,AO,DX,CP,QA,LG,KZ,MG,PC,BB,AG,FZ,IT,FS,MU,JB,DU,TF
2026-07-13,545.0,550.0,535.0,540.0,10693800,0.4396,0.0743,0.004,-0.0081,0.0028,0.1795,0.5073,0.2648,0.0216,0.2451,-0.0005,0.0,0.0,0.0438,-0.142,0.1876,0.1489,-0.001,0.0635,-0.0003,0.0,0.0597,0.14,-0.0706,-0.1056,0.1111,0.0021,0.0,0.0015,0.0001,0.0103,0.7923,0.0054,-2.7,0.002,0.0004,0.0766,-0.1091,0.0,0.0,0.0,0.0,0.0,0.0,-0.218,0.0,0.0,0.0,0.0
2026-07-14,555.0,565.0,545.0,545.0,17786900,-0.0374,0.1237,0.0145,-0.0074,-0.0005,-0.2661,-0.2723,-0.202,0.1668,-0.3612,-1.5,0.0,0.0,0.0154,0.1808,0.7922,0.1137,-0.0011,-0.8257,-0.0003,-0.0479,-0.0023,-0.0261,-0.0477,-0.4784,-0.0185,0.0146,0.0011,-0.0241,0.0012,0.5664,-0.0132,-0.0277,0.0,-0.0547,-0.0558,0.0021,0.0,-0.0083,0.0,2.5,0.0139,-0.028,0.0,-0.1407,0.0,0.0006,0.0001,0.0008
2026-07-15,560.0,565.0,550.0,555.0,11274500,-0.0194,0.1857,0.0001,0.0,-0.005,-0.0344,0.0209,0.2462,-0.0085,-0.5854,0.0,0.0,0.0,-0.0547,-0.1801,-0.1336,-1.1,0.0223,1.2,-0.0962,-0.005,0.1275,0.0451,-0.0362,-0.2075,0.0717,0.0054,-0.1255,0.0,-0.0617,0.289,0.4905,0.0,-500.0,-0.0014,0.0005,-0.072,0.0,0.0,0.0,0.0,-0.0014,0.0002,0.0084,-0.0006,0.0006,0.0,0.0,0.0
2026-07-16,575.0,580.0,565.0,565.0,17291100,0.466,-0.317,-0.0298,-0.0136,0.0045,-0.1215,-0.2583,-0.2342,-0.3018,-0.7198,0.0,0.0,0.0,-0.2206,0.0006,-1.2,1.5,0.0,-0.577,-0.06,0.0282,-0.0876,-0.1753,-0.02,0.0444,0.0941,-0.0443,0.0231,0.0,-0.0685,-0.0133,2.2,-0.0173,0.0,-0.0529,0.0297,-0.019,0.5928,-0.0275,-0.0405,-0.2408,0.0288,-0.0145,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,570.0,580.0,565.0,580.0,24848300,0.0438,-0.0327,0.0216,0.0174,-0.0076,0.1057,0.6779,-0.0929,0.0865,0.7001,0.5672,-0.0001,-0.0014,0.0377,0.0727,0.1952,-1.3,0.0034,0.5725,-0.0001,0.2851,1.4,0.0439,0.1141,0.0888,0.1432,0.2554,-0.0022,-8.2,-0.0013,0.1365,0.5476,0.017,1.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,570.0,585.0,570.0,575.0,12748100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,585.0,585.0,575.0,575.0,10848500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,580.0,590.0,570.0,590.0,14218800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,585.0,605.0,580.0,580.0,34174800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,570.0,580.0,565.0,580.0,13209500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
