Date,Close,High,Low,Open,Volume,CP,XL,CC,PD,DR,YP,IF,EP,KK,XC,SQ,OD,BQ,NI,YU,ZP,YB,LG,RO,DH,GR,YJ,MI,AT,QA,AZ,HD,MG,XA,KI,AG,LS,TP,IU,HP,RB,SF,PO,RG
2026-07-13,33.0,33.0,33.0,33.0,4958900,-0.0015,0.0799,-0.0083,-0.0059,-0.0071,-0.0042,0.0,-0.005,-0.0012,0.0003,-0.0036,0.0079,-0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0114,0.0027,0.0,0.0,-0.0215,0.0,0.0,-0.0208,0.0,0.0,0.0,0.0,-0.0
2026-07-14,36.0,36.0,36.0,36.0,7768200,-0.0054,0.0487,-0.0221,-0.0136,-0.0108,-0.0087,0.0,-0.0001,-0.0029,0.0224,0.0,-0.0007,-0.0003,-0.0062,0.0,0.0,-0.001,-0.0009,-0.0,-0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0216,0.0092,-0.0066,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,-0.0007,-0.0212,0.0
2026-07-15,33.0,39.0,33.0,39.0,25627100,0.0108,0.083,0.0313,-0.0005,-0.0167,-0.1337,0.0009,-0.0111,0.0051,-0.0238,-0.0026,-0.0296,-0.0068,0.0003,0.0,0.039,-0.0182,-0.0039,-0.001,0.0041,0.0019,0.0365,-0.0023,0.0058,0.0001,-0.0224,0.0801,-0.0158,0.0045,0.0099,-0.0149,0.033,0.0,-0.0347,0.0009,-0.0093,0.0,0.0,0.0
2026-07-16,35.0,35.0,31.0,31.0,8364100,-0.016,0.0422,-0.0098,0.0161,0.0059,-0.0033,0.0,0.0038,0.014,-0.013,-0.0002,0.0,-0.0018,0.0001,0.0,0.0,-0.0005,-0.0004,0.0001,-0.0,-0.0005,-0.0008,0.0001,-0.0072,-0.0001,0.0,-0.0032,-0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,37.0,37.0,37.0,37.0,4125100,-0.001,0.0798,0.0005,-0.0021,-0.0074,-0.0065,-0.0023,-0.0019,0.0048,-0.0591,-0.003,-0.0001,-0.0015,0.0,-0.0004,0.0037,-0.0037,0.0,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,34.0,37.0,34.0,37.0,7517700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,35.0,35.0,34.0,35.0,2307900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,34.0,35.0,34.0,35.0,1464000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,34.0,35.0,34.0,34.0,3004500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,33.0,34.0,32.0,34.0,1225700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
