Date,Close,High,Low,Open,Volume,RF,NI,RO,CC,PD,XL,PC,DR,KK,YP,XC,HD,AO,CP,EP,BQ,OD,AZ,YB,LG,QA,AG
2026-07-13,535.0,560.0,510.0,540.0,78700,0.0,0.0,0.0,0.0013,0.0005,-0.0019,0.0,-0.0017,-0.0001,0.0,-0.0001,0.0017,0.0006,-0.001,0.0009,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-14,545.0,550.0,515.0,515.0,86700,0.0016,0.0,0.0001,0.003,-0.002,0.0005,0.0,-0.001,0.0,0.0017,0.0,0.0002,0.002,0.0,0.0,0.0,-0.0028,0.0,0.0,0.0,-0.0035,0.0
2026-07-15,535.0,635.0,520.0,520.0,93200,0.0,0.0,0.0,0.0045,-0.0031,0.0001,0.0,-0.0015,0.0002,-0.0017,0.0005,0.0017,0.0005,0.0,-0.0009,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,570.0,635.0,530.0,570.0,2653600,0.0,0.0,0.0001,0.0046,0.003,0.0175,-0.0002,-0.0015,0.0009,-0.006,-0.0176,0.0016,0.0,-0.0,0.0,-0.001,-0.0018,0.0001,0.0,0.0001,0.0,0.0
2026-07-17,570.0,585.0,535.0,570.0,111700,0.0013,0.0001,-0.0001,0.0011,0.0001,-0.0105,-0.0,0.0,-0.0008,-0.0005,0.0001,0.0015,0.0078,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,580.0,625.0,570.0,570.0,20400,0.0,-0.0001,0.0,-0.0001,-0.0006,-0.0021,0.0,0.0,-0.0001,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,-0.0001,0.0,0.0031
2026-07-21,645.0,675.0,575.0,590.0,97100,0.0,0.0,-0.0001,-0.0014,-0.0003,-0.0006,-0.0005,-0.0017,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.003
2026-07-22,630.0,670.0,610.0,670.0,86100,0.0,0.0,0.0001,0.0068,0.0016,-0.0049,0.0,0.0,0.0002,0.0014,0.0001,0.0,0.0,0.0,0.0,0.0015,0.0,0.0001,0.0,0.0,0.0,-0.0068
2026-07-23,605.0,650.0,600.0,615.0,71500,0.0,0.0,0.0,0.0,-0.0001,0.0002,0.0,-0.0018,-0.0002,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0
2026-07-24,580.0,625.0,575.0,625.0,92000,0.0,0.0,0.0,-0.0023,0.0001,0.0019,0.0,-0.0005,0.0,-0.0001,0.0001,0.0009,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0002
