Date,Close,High,Low,Open,Volume,NI,XA,PD,BQ,SQ,YP,XC,KK,XL,AT,OD,QA,DR,LG,CC,CP,AZ,MG,TP
2026-07-13,376.0,392.0,366.0,380.0,243300,0.0007,0.0,0.0035,0.0,0.0006,0.0015,0.0302,0.0,0.0319,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0684
2026-07-14,378.0,390.0,374.0,374.0,200200,-0.0045,0.0,-0.0018,0.0,-0.0006,-0.001,-0.0092,-0.0008,0.0158,0.0,0.0,-0.0002,0.0033,0.0,-0.001,0.0,0.0,0.0,0.0
2026-07-15,372.0,378.0,334.0,334.0,566900,0.0092,0.0,0.003,-0.0002,0.0029,0.0006,0.0065,-0.001,-0.0271,-0.0001,0.0002,-0.0002,0.0036,0.0,-0.0018,0.0043,0.0,-0.0,0.0
2026-07-16,370.0,380.0,350.0,378.0,133200,-0.0111,0.0,0.0006,0.0022,0.0,-0.0008,0.0181,0.0,-0.0098,0.0,-0.0004,0.0,-0.0019,0.0073,-0.0008,-0.0035,0.0,0.0,0.0
2026-07-17,372.0,378.0,358.0,374.0,351900,0.0088,0.0023,-0.0012,0.0026,0.0044,-0.1089,0.0305,0.0,0.0616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,368.0,380.0,330.0,370.0,625700,,,,,,,,,,,,,,,,,,,
2026-07-21,360.0,376.0,352.0,370.0,183100,,,,,,,,,,,,,,,,,,,
2026-07-22,356.0,368.0,352.0,366.0,150600,,,,,,,,,,,,,,,,,,,
2026-07-23,352.0,370.0,346.0,356.0,312300,,,,,,,,,,,,,,,,,,,
2026-07-24,352.0,360.0,346.0,346.0,153500,,,,,,,,,,,,,,,,,,,
