Date,Close,High,Low,Open,Volume,XA,XL,PD,QA,GR,EP,YB,XC,BQ,SQ,KK,CP,YP,CC,NI,LG,HP,RO,HD,RX,OD,DR,MG,AG,IF,DH,RG
2026-07-13,19.0,19.0,18.0,19.0,6792100,0.0,0.0244,0.0005,-0.0,-0.0,0.0,0.0093,-0.0035,0.0001,0.001,-0.0005,-0.0266,-0.0061,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0038,-0.0041,-0.0,0.0,-0.0,0.01
2026-07-14,19.0,19.0,19.0,19.0,8649200,0.0,0.1244,0.0059,0.0,0.0,0.0,-0.0019,-0.0079,0.0,0.0011,0.001,-0.1359,0.0063,0.006,-0.0007,0.0,0.0001,0.0001,0.0,0.0,-0.0003,0.0,0.0012,0.0,0.0,0.0006,0.0
2026-07-15,20.0,20.0,19.0,19.0,3120700,-0.0009,0.0038,0.0018,0.0,-0.0,-0.0029,0.0023,0.0001,0.0,0.0,0.0,0.0005,0.0041,0.018,-0.0002,0.0,0.0,-0.0,0.0,0.0,-0.0022,-0.0131,-0.0102,0.0,-0.001,0.0,0.0
2026-07-16,19.0,20.0,19.0,19.0,2675400,-0.0012,0.023,0.0008,0.0,0.0045,0.0002,0.0011,-0.0077,0.0002,-0.0008,0.0,0.0,0.0008,-0.01,0.0005,0.0,0.0,0.0,0.0001,-0.0,0.0019,-0.0132,0.0,0.0,0.0,0.0,0.0
2026-07-17,19.0,19.0,19.0,19.0,2338500,-0.0009,0.0088,0.0002,0.0,0.0081,0.0009,0.0002,0.0001,0.0,0.0002,-0.001,-0.0001,-0.008,-0.0116,-0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,20.0,20.0,19.0,19.0,2204100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,19.0,20.0,19.0,20.0,8121800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,20.0,20.0,20.0,20.0,3739900,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,22.0,22.0,20.0,20.0,9011700,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,21.0,22.0,21.0,22.0,4687900,,,,,,,,,,,,,,,,,,,,,,,,,,,
