Date,Close,High,Low,Open,Volume,CP,GR,PD,IF,CC,XL,YP,EP,KK,AT,AI,XC,SQ,TP,OD,BQ,AK,NI,YB,HP,LG,HD,DH,MG,YJ,AZ,BK,RO,XA,DR,FZ,YU,IN,QA,ZP
2026-07-13,3220.0,3220.0,2900.0,3180.0,578500,-0.004,-0.0003,-0.0412,0.6285,0.0324,-0.3785,0.0012,-0.0047,-0.0013,0.0,0.0305,-0.0499,0.0028,0.0,0.0056,-0.0,0.1367,-0.0125,0.0,0.0,0.0,0.0,0.0,-0.3957,0.0003,-0.0019,-0.0104,0.0512,0.0102,0.0013,0.0,0.0,0.0,0.0,-0.0003
2026-07-14,3220.0,3290.0,3050.0,3220.0,463400,0.004,-0.001,-0.0775,0.2693,0.1408,-0.0434,0.0045,-0.0003,-0.0003,-0.0,0.0,-0.0297,-0.0198,0.0,-0.0026,0.0,0.0615,-0.0122,0.0,0.0,-0.0064,0.0,-0.0145,-0.2631,0.0,-0.0032,0.0089,-0.0052,-0.0003,-0.0013,0.0,0.0,-0.0003,-0.0003,-0.0075
2026-07-15,3260.0,3370.0,3170.0,3220.0,688400,-0.0003,-0.0036,-0.0155,0.3827,-0.1337,-0.1757,-0.0222,0.0,0.0,0.0,-0.003,-0.0095,0.0451,0.0032,-0.0598,0.0,0.0379,-0.0147,0.0,0.0,0.0,0.0,-0.0159,-0.0034,0.0,-0.002,-0.013,-0.0019,0.0034,-0.0007,-0.0003,0.0029,0.0,0.0,0.0
2026-07-16,3300.0,3330.0,3140.0,3260.0,593900,0.0193,-0.0008,-0.0113,0.0944,0.1272,0.0443,-0.092,-0.0,-0.0,0.0003,0.0003,0.0901,0.002,-0.0033,0.003,-0.155,-0.0649,-0.0134,-0.0003,0.0,-0.0045,0.0101,0.0,0.0,0.0003,-0.002,0.007,-0.0509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3310.0,3320.0,3140.0,3300.0,674700,0.0002,0.0029,0.0525,0.5417,0.1126,-0.3149,-0.0004,-0.0006,0.0027,-0.0003,0.0013,-0.0858,0.0006,-0.0001,-0.0042,-0.066,-0.0832,-0.0153,-0.0,-0.1304,-0.0042,-0.004,0.0012,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3330.0,3380.0,3300.0,3310.0,526200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3730.0,3890.0,3270.0,3330.0,1290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4000.0,4150.0,3650.0,3730.0,1521800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4540.0,4960.0,3980.0,4210.0,5320100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4510.0,4620.0,4180.0,4540.0,1183700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
