Date,Close,High,Low,Open,Volume,DH,AK,MG,EP,OD,GR,CP,BK,YU,CC,YP,DR,RO,SQ,AG,NI,AZ,XC,BQ,PG,KK,PD,XL,TP,LG,YB,RX,AO,PC,AT,AR,QA,XA,ZP,AI,DX
2026-07-13,35325.0,35425.0,34625.0,35425.0,32700,0.0035,-0.0631,0.053,-0.0105,0.007,-0.0665,-0.0383,0.0559,-0.0071,0.0653,0.0557,0.0105,0.0035,0.084,0.0,0.0035,-0.035,-0.0558,0.0,0.0,-0.0454,0.1228,-0.0034,0.0067,0.0,-0.1602,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,34925.0,35300.0,34375.0,35300.0,42100,-0.5076,-0.0208,0.1499,-0.0069,0.0382,-0.0311,0.0139,0.0,0.0,-0.0688,0.1282,0.0035,0.0,0.0962,0.0,0.0304,0.0,0.0345,0.0241,0.0069,0.038,-0.0451,0.0888,0.0139,0.0035,0.0,0.0,0.0069,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,34125.0,35000.0,33800.0,35000.0,39000,-0.1931,-0.1723,0.1194,-0.0034,-0.0101,0.0133,-0.0305,0.0,0.0,-0.0997,0.1062,0.0,0.0,0.0306,0.0,0.0137,-0.0034,-0.1637,0.0309,-0.0171,0.0556,0.0211,0.3849,-0.0893,0.0034,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,33825.0,34425.0,33400.0,34425.0,44600,-0.1986,-0.0064,0.0913,0.0104,-0.0099,-0.0034,-0.3058,0.0034,0.0,0.1109,0.2484,0.0168,0.0,0.0134,0.0101,0.0472,0.0,0.0371,-0.0034,0.0,0.0942,-0.1009,0.0024,-0.0468,-0.0035,-0.0067,-0.0033,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,34275.0,34450.0,33000.0,33500.0,34500,-0.0101,0.185,0.0342,-0.0034,-0.0237,-0.0548,-0.0001,0.024,-0.0103,0.0358,-0.0616,-0.0034,0.0034,-0.0138,0.0377,0.0133,0.0034,0.0029,-0.0033,-0.0011,-0.0443,0.102,-0.1406,-0.044,-0.0103,-0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,34000.0,34500.0,33750.0,34350.0,27800,0.0271,0.0136,0.0,-0.0068,-0.0136,-0.2484,0.0,0.0273,0.0,0.0988,-0.2147,-0.0102,0.0,0.0376,0.0271,0.0,0.0,0.0348,0.0,0.0,0.0203,0.0749,0.0707,0.0275,0.034,-0.0102,0.0,0.0034,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0034
2026-07-21,33600.0,34375.0,33500.0,34000.0,27000,0.0272,-0.0237,0.0,-0.0203,0.0002,-0.2676,0.0034,0.0338,0.0068,-0.0237,0.0136,0.0474,-0.0034,-0.0001,0.0439,-0.0471,0.0135,-0.0169,0.0,0.0101,0.0102,0.0375,0.1284,0.0236,-0.0102,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034,0.0,0.0,0.0068,0.0101
2026-07-22,34425.0,34500.0,33500.0,33625.0,38400,-0.0512,-0.0062,0.0,-0.0001,-0.034,-0.0069,-0.0101,0.0138,0.0,-0.0548,-0.0275,-0.007,-0.0172,-0.0101,0.0,0.065,0.0273,-0.0273,0.0,-0.0172,-0.0996,0.1083,0.271,0.0275,0.0,-0.0034,0.0,0.0,0.0,0.0,-0.0685,-0.171,0.0,0.0,0.0,0.0991
2026-07-23,35400.0,36000.0,34425.0,34425.0,107800,-0.0177,0.0283,0.0283,-0.0005,-0.0419,-0.0426,0.0433,0.0959,0.0108,-0.4717,0.0896,0.0142,0.0103,-0.0077,0.0286,-0.0523,-0.0071,0.1928,-0.0247,0.1393,-0.3688,-0.3946,0.7449,0.0806,-0.0211,0.0355,0.0,0.0,-0.0035,0.0,-0.0885,0.0035,0.0,0.0037,-0.007,0.0
2026-07-24,36275.0,36500.0,35000.0,35400.0,58000,0.0,0.176,-0.0001,0.0109,-0.0215,-0.0975,0.0296,0.0828,0.0036,0.443,-0.04,-0.0072,0.0,-0.0795,0.0,0.0107,0.0392,-0.1168,0.0,0.0067,-0.5511,0.1734,-0.0328,0.0108,-0.0073,0.0,0.0,-0.011,0.0,-0.0072,-0.0183,-0.0036,0.007,0.0,0.0,0.0
