Date,Close,High,Low,Open,Volume,SS,CD,CP,GR,RG,PD,CC,YP,XL,DR,EP,KI,HD,KK,OK,MI,AT,DX,AI,XC,SQ,LS,TP,OD,AK,NI,YU,AZ,ZP,YB,HP,LG,BK,RO,DH,AR,IF,PP,AG,BQ,BR,YJ,DP,TF,AO,XA,FS,PC,MG,SH,RF
2026-07-13,875.0,880.0,855.0,880.0,8204800,0.0,-0.0003,0.0364,0.3689,0.0,0.0244,0.2904,0.1587,0.2733,0.0667,0.0,0.0,-0.0,-0.2604,0.049,0.0025,0.0,0.0,0.1201,-0.0026,-3.4,0.0,0.0,0.0009,0.7205,0.1021,3.2,0.0112,-2.3,0.0024,0.0,0.0023,0.1518,0.0,0.0436,-0.087,0.0,0.0,-0.009,0.264,0.0433,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0875,0.0088
2026-07-14,865.0,880.0,860.0,880.0,2410500,0.0,0.026,-0.0337,0.0886,0.0,0.0107,-0.157,-0.1263,0.1932,0.0071,0.001,0.0436,0.0,0.2336,0.0,0.0024,0.0,-0.0512,0.0,0.0094,-0.0318,0.0447,0.0,-0.0235,0.0972,0.0243,-0.0536,-0.2218,-0.0092,0.0005,0.0,0.0465,-0.0234,0.0,0.0104,0.0,0.0,0.0,0.0388,-0.169,0.0,0.0018,0.0,0.0,0.0001,-0.0018,0.0216,0.0009,-0.0003,0.0,0.0
2026-07-15,880.0,890.0,865.0,865.0,5251300,0.0,-0.044,0.0214,-0.8738,0.0,0.02,0.4308,-0.1833,0.0258,0.0,0.0017,0.0,0.0042,0.0301,0.0,0.0025,0.0009,0.0,0.0,0.024,-0.0413,0.0001,-0.0019,-0.0024,0.4658,-0.0285,0.7802,-2.0,0.2792,-0.0013,0.0,0.0075,-0.0407,0.0,0.0022,0.0,-0.0091,0.0,-0.083,-0.0877,0.7199,-0.0299,0.6155,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,890.0,905.0,890.0,890.0,3353900,0.0,0.0,-0.0174,0.7683,0.0,0.0356,0.1989,-0.0398,0.0117,0.0002,0.0888,-0.0009,-0.0005,-0.0389,-0.0448,0.0,-0.0,-0.9829,-0.0855,-0.0087,-0.2746,0.0004,0.2701,-0.0146,-0.0282,0.0536,0.016,0.0399,-0.1253,-0.0001,0.0,-0.0898,0.0498,0.0004,-0.0044,0.0,-0.0027,-0.0772,-0.0544,0.0009,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,915.0,925.0,890.0,905.0,3156800,-0.543,-0.0273,-0.0823,0.2304,-0.0009,0.1566,0.4336,0.0731,0.0344,-0.0014,0.0002,0.1405,0.0179,-0.3551,-0.0514,0.0025,-0.0004,-0.0003,0.0594,-0.008,0.1575,-0.0053,-0.0811,-0.0005,0.3116,-0.1435,-0.0457,-0.0001,0.1076,0.0001,0.0092,0.002,0.0586,-0.0001,-0.4032,-0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,905.0,920.0,905.0,915.0,3964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,920.0,925.0,905.0,910.0,4977500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,910.0,920.0,900.0,920.0,3456800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,900.0,925.0,895.0,915.0,6175500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,885.0,900.0,885.0,900.0,4175500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
