Date,Close,High,Low,Open,Volume,SQ,XC,YP,BK,XL,PD,CC,NI,KK,AK,KI,BQ,OD,EP,CP,EL,AT,LG,PC,YB,AI,MG,AZ
2026-07-13,600.0,605.0,575.0,590.0,162800,0.0,0.0007,0.0002,-0.0023,-0.022,0.0022,-0.0062,0.001,0.0,0.0097,0.0001,-0.0,0.0,0.0,0.0117,0.006,0.0,0.0,0.0,0.0,-0.0001,0.0001,-0.0011
2026-07-14,600.0,610.0,585.0,600.0,178400,0.0,0.0022,0.0624,-0.0035,-0.0435,-0.0045,0.0026,-0.0001,-0.0001,-0.0043,0.0,0.0,-0.0001,0.0,0.0,-0.012,0.0,0.0,0.0001,0.0006,0.0,0.0,0.0
2026-07-15,610.0,610.0,590.0,605.0,53700,0.0,0.0057,-0.0012,-0.0053,-0.0022,0.0005,-0.0009,0.0,0.0,0.0033,0.0,0.0,-0.0002,0.0001,-0.0001,-0.0044,-0.0006,0.0053,0.0,0.0,0.0,0.0,0.0
2026-07-16,605.0,610.0,595.0,610.0,116300,0.0,-0.0046,0.0,-0.002,0.0149,0.003,-0.0088,0.0027,0.0,0.0008,0.0,0.0001,-0.006,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,600.0,610.0,585.0,610.0,108300,0.0019,-0.016,0.0102,-0.003,0.0089,-0.0018,-0.0001,-0.0012,0.0012,-0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,600.0,640.0,585.0,605.0,359500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,630.0,675.0,595.0,615.0,774500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,645.0,675.0,630.0,640.0,421900,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,650.0,670.0,630.0,645.0,260400,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,615.0,665.0,605.0,660.0,286900,,,,,,,,,,,,,,,,,,,,,,,
