Date,Close,High,Low,Open,Volume,NI,RO,PD,AZ,XL,KK,XC,CC,AK,SQ,TP,DH,IF,YP
2026-07-13,1555.0,1565.0,1545.0,1545.0,2100,-0.0002,0.0,0.0014,0.0,-0.0012,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0003
2026-07-14,1550.0,1560.0,1550.0,1560.0,4900,0.0011,0.0,0.0,0.0,-0.0036,0.0,0.0002,0.0026,0.0,0.0011,0.0,-0.0014,0.0,-0.0
2026-07-15,1560.0,1585.0,1560.0,1585.0,4100,-0.0002,0.0,-0.0003,0.0,-0.0017,0.0,0.0022,-0.003,0.0,0.0,0.0031,-0.0002,-0.0002,0.0002
2026-07-16,1560.0,1560.0,1560.0,1560.0,1800,0.0,0.0,0.0014,0.0,-0.0025,0.0,0.0,0.0006,0.0,0.0005,0.0,0.0,0.0,0.0
2026-07-17,1560.0,1570.0,1545.0,1560.0,2100,-0.0002,0.0006,0.0002,0.0003,-0.0005,-0.0014,-0.0008,0.0019,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-20,1585.0,1585.0,1560.0,1560.0,47300,,,,,,,,,,,,,,
2026-07-21,1580.0,1590.0,1575.0,1585.0,8400,,,,,,,,,,,,,,
2026-07-22,1580.0,1585.0,1565.0,1580.0,8400,,,,,,,,,,,,,,
2026-07-23,1580.0,1595.0,1575.0,1595.0,14400,,,,,,,,,,,,,,
2026-07-24,1580.0,1585.0,1580.0,1580.0,2400,,,,,,,,,,,,,,
