Date,Close,High,Low,Open,Volume,CD,CP,GR,XL,CC,YP,IF,AO,KK,DX,SH,XC,LS,FZ,MU,AZ,IU,IH,HP,BK,PC,MG,YJ,PD,DR,XA,EP,KI,AG,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,ZP,PO,LG,BR,GA,HD,SA,RO,DH,FS,AT,BB,MI,AI,ES
2026-07-13,5975.0,5975.0,5775.0,5850.0,2854300,0.0,0.0188,-1.9,0.6014,0.2456,-0.2712,-0.0006,0.0862,-0.1259,0.0,-0.006,0.2777,0.0006,0.0,0.0,-0.2073,-0.0152,0.0,0.0006,1.9,0.0,0.0,0.0597,0.1448,-0.0001,-0.073,0.0911,-0.202,0.0886,0.2578,0.0848,0.3399,0.0,0.0064,1.2,0.3447,-0.0022,-0.0168,-2.5,-0.0071,-0.4428,0.0585,0.0,0.0012,0.0,0.0063,0.0006,0.0,0.0,0.0,0.0,0.0243,-0.0003
2026-07-14,5900.0,6175.0,5875.0,6000.0,5090700,0.0061,0.132,-0.2271,0.2842,2.0,0.0961,0.1201,0.2746,-0.1156,0.0,0.0,-0.2039,-0.0067,0.0018,0.0,0.0776,-0.0345,-0.0158,0.0012,3.3,0.0,0.0042,0.0241,-0.0131,0.0092,0.5355,-0.0098,0.1851,-0.1165,0.3021,-0.0069,-0.3443,0.0,0.0005,0.5768,-0.2284,-0.8203,-0.0472,-1.8,0.0028,-4.1,-0.0242,-0.001,0.0154,0.0,-0.0025,0.0857,0.0588,0.0012,0.0,0.0,-0.0063,-0.0005
2026-07-15,6125.0,6250.0,5925.0,5925.0,6175700,0.0,-0.2721,-0.8198,-1.2,3.9,-0.7192,0.3049,-0.0558,-0.1767,0.0,0.0,-0.3252,0.0,0.0,0.0,-0.2533,-0.082,0.0,-0.1305,3.7,0.0,0.0,-0.2745,-0.4735,0.0206,-0.2176,-0.493,0.0,-0.0752,-2.1,-0.1195,-0.398,0.0,0.0,6.1,-1.7,0.0188,0.369,2.2,-0.0527,-6.4,0.0,0.0005,0.0,-0.0645,-0.0591,-0.0661,-0.0656,0.0,0.0,0.0,0.0,0.0
2026-07-16,6100.0,6225.0,6025.0,6150.0,6648500,-0.0006,-0.0634,-0.1388,-0.0379,3.3,3.2,0.001,-0.081,0.0356,0.0,-0.0893,-0.3267,-0.0043,0.003,-0.0025,0.5029,0.0005,0.0166,0.1225,6.3,0.0,-0.0802,0.0,-0.0704,-0.0615,-0.0821,0.1107,-0.316,0.0336,-2.3,0.0377,0.1275,0.0,0.0607,0.7958,0.1981,0.0244,-0.3072,-1.8,0.1055,-10.2,-0.1769,-0.0005,0.0291,-0.062,0.0605,-0.0679,-0.0031,0.0012,0.9799,0.2487,-0.0001,0.0
2026-07-17,6200.0,6225.0,5950.0,6150.0,5498700,0.0019,-0.2222,0.0243,-0.43,-2.5,-0.4595,-0.0846,0.0022,0.0822,-0.0019,0.0038,0.34,-0.0012,0.0024,-0.0012,-0.0781,-0.0939,2.5,0.1184,4.4,-0.0024,0.0634,0.3628,-0.5256,-0.012,0.091,0.1833,-1.4,-0.2382,-0.9641,-0.0263,0.8559,0.0031,0.0185,1.3,0.0817,-1.7,0.0307,-0.7306,-0.2069,-0.9805,0.1447,-0.0025,0.0331,-0.002,-0.043,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6150.0,6400.0,6100.0,6250.0,5706400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,6525.0,6525.0,6175.0,6175.0,7512100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,6450.0,6625.0,6350.0,6575.0,5472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6350.0,6675.0,6350.0,6500.0,6716500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,6125.0,6350.0,6050.0,6350.0,3769100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
