Date,Close,High,Low,Open,Volume,PD,CC,XL,XA,DR,YP,KK,FS,AT,XC,SQ,OD,QA,BQ,NI,AZ,IH,LG,HD,BS,MG,CP,RG,EP,AI,GR
2026-07-13,128.0,131.0,127.0,127.0,57800,-0.0001,0.0011,0.0006,0.0,0.0,-0.0009,0.0,0.0,0.0,-0.0007,0.0,0.0,0.0,0.0,-0.0025,0.0,0.0,0.0,-0.0,0.0029,0.0,0.0,0.0,-0.0005,0.0,0.0
2026-07-14,129.0,130.0,126.0,130.0,208200,0.0,0.0117,0.0009,500.0,0.0,0.0077,0.0031,-0.0255,0.0,0.0007,0.0,-0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0,0.0006
2026-07-15,125.0,130.0,110.0,130.0,1032200,0.0045,0.0006,0.0025,0.0,0.0,-0.0002,0.0136,0.0,0.0,0.0024,0.0,0.001,0.059,0.0001,0.0001,0.0,0.0002,0.0,-0.0001,0.0,0.0,-0.0,0.0032,0.0013,-0.0882,0.0
2026-07-16,127.0,130.0,126.0,129.0,91300,0.0001,0.0014,0.0014,400.0,0.0,-0.0018,-0.0005,0.0,0.0,-0.001,-0.0005,0.0,0.0,0.0002,0.0,0.0,0.001,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,125.0,131.0,125.0,129.0,244400,0.0004,0.0029,-0.0028,400.0,-0.0,-0.0038,0.0132,-0.0168,0.0,0.001,0.0,0.0001,-0.0002,0.0013,800.0,0.001,0.0013,-0.0001,0.0001,-0.0,0.0025,0.0,0.0,0.0,0.0,0.0
2026-07-20,127.0,130.0,125.0,125.0,78100,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,128.0,130.0,128.0,128.0,286000,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,128.0,130.0,127.0,129.0,78700,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,130.0,130.0,126.0,127.0,700100,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,129.0,132.0,124.0,127.0,263300,,,,,,,,,,,,,,,,,,,,,,,,,,
