Date,Close,High,Low,Open,Volume,QA,SQ,XC,XL,YP,BQ,CC,OD,PD,NI,AT,KK,PC,AO,AI,AG
2026-07-13,444.0,448.0,442.0,446.0,201200,0.0129,0.0,0.0008,0.0383,0.0079,-0.0033,-0.0011,-0.0,-0.0548,0.0,0.0001,0.0,0.0,0.0,-0.0009,0.0
2026-07-14,442.0,444.0,442.0,444.0,213300,0.0282,0.0,0.0049,0.0124,-0.0285,0.0001,0.0,-0.0133,-0.0,0.0002,0.0,0.0002,0.0,-0.0042,0.0,0.0
2026-07-15,442.0,444.0,442.0,442.0,173900,0.0648,0.0,0.0,0.0002,-0.0139,0.0,0.0,-0.0221,-0.0286,-0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,444.0,446.0,442.0,444.0,64000,0.0049,0.0,0.0026,0.0013,-0.0156,0.0,0.0,0.0002,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,444.0,446.0,438.0,440.0,107700,0.0093,0.0008,0.0007,0.0108,-0.0218,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,446.0,448.0,440.0,440.0,134000,,,,,,,,,,,,,,,,
2026-07-21,444.0,446.0,440.0,446.0,195700,,,,,,,,,,,,,,,,
2026-07-22,440.0,444.0,440.0,444.0,50900,,,,,,,,,,,,,,,,
2026-07-23,440.0,444.0,434.0,444.0,110200,,,,,,,,,,,,,,,,
2026-07-24,440.0,444.0,438.0,440.0,61900,,,,,,,,,,,,,,,,
