Date,Close,High,Low,Open,Volume,NI,PD,XL,KI,QA,YP,XC,CC,AK,KK,SQ,OD,LG
2026-07-13,620.0,645.0,600.0,645.0,48500,-0.006,-0.0004,-0.0019,0.0,0.0,0.0012,0.0047,0.0014,0.0,0.001,0.0001,0.0,0.0
2026-07-14,650.0,650.0,610.0,650.0,51600,-0.0104,-0.0004,0.0062,0.0,0.0,0.0009,0.0047,-0.0133,0.0,0.0002,-0.0033,0.0,0.0155
2026-07-15,650.0,655.0,620.0,650.0,21200,-0.0063,-0.0001,0.0043,0.0,0.0,0.0024,-0.0012,0.001,0.0,0.0,0.0,-0.0001,0.0
2026-07-16,635.0,650.0,625.0,645.0,91200,0.002,0.0,0.0281,0.0,0.0,0.0035,-0.0003,0.0104,0.0,0.0001,-0.0439,0.0,0.0
2026-07-17,620.0,650.0,605.0,635.0,50100,-0.0073,-0.0006,0.0003,0.0,-0.0049,0.0012,0.0057,0.0051,0.0004,0.0,0.0,0.0,0.0
2026-07-20,640.0,655.0,600.0,650.0,114800,,,,,,,,,,,,,
2026-07-21,640.0,650.0,625.0,640.0,57000,,,,,,,,,,,,,
2026-07-22,655.0,680.0,630.0,640.0,116000,,,,,,,,,,,,,
2026-07-23,655.0,660.0,640.0,650.0,144100,,,,,,,,,,,,,
2026-07-24,645.0,655.0,585.0,655.0,266100,,,,,,,,,,,,,
