Date,Close,High,Low,Open,Volume,XC,SQ,LG,XA,AZ,KK,CP,ZP,AT,OD,EP,XL,YP,CC,MG,IF,BQ,NI,HP,PD,QA,YJ,RO,LS,DX,FZ,GR,BK,BS,DH,DR,TP,AO
2026-07-13,262.0,268.0,260.0,266.0,1298600,-0.0208,0.0073,0.0004,-0.0026,-0.0,0.0032,0.008,-0.0105,-0.0008,0.0005,-600.0,-0.0779,-0.0198,0.1337,-0.0027,-0.0042,0.0032,-0.0088,0.0,-0.0005,0.0001,0.0,0.0005,0.0005,0.0,0.0,-0.0133,0.0035,0.0,0.0,0.0008,0.0005,-0.0003
2026-07-14,264.0,268.0,260.0,262.0,721300,-0.0202,0.0119,0.0002,0.0,0.0,-0.0072,-0.006,0.0,-0.0003,-0.0042,0.0,-0.0137,-0.0144,0.0549,0.0004,0.0,-0.0031,0.0011,0.0,-0.0053,0.0,0.0,0.0,-0.0001,0.003,0.0,0.0,0.0013,0.0013,0.0002,-0.0,0.0,0.0
2026-07-15,262.0,268.0,262.0,264.0,1030600,0.0032,0.0033,0.0059,0.0031,0.0,0.0424,0.0,0.0,-0.0,0.001,0.0027,0.0082,0.0027,-0.0158,0.0051,0.0013,-0.0024,-0.0008,0.0,-0.0223,0.0,0.0,-0.0397,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
2026-07-16,262.0,268.0,260.0,266.0,568300,-0.0138,0.0059,0.0,0.0028,0.0,0.0021,-0.0267,0.0009,-0.0026,-0.0021,0.0,-0.0051,0.006,0.0061,0.0021,0.0063,0.0003,0.0006,0.0,0.0138,0.0002,0.0007,0.0001,0.0005,0.0011,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,262.0,266.0,258.0,262.0,543000,-0.0162,0.0016,0.0002,0.0167,0.0026,0.0002,-0.0,0.0007,0.0,-0.0002,0.004,-0.0282,0.0006,-0.0033,0.001,0.0145,0.0001,-0.001,0.0118,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,264.0,266.0,260.0,262.0,1122400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,280.0,308.0,262.0,266.0,12287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,284.0,294.0,280.0,284.0,2219500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,286.0,294.0,280.0,284.0,2821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,276.0,286.0,272.0,286.0,1106500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
