Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,DR,SQ,YP,ES,XC,KK,XL,FS,YJ,AI,DH,FZ,AZ,IF,MG,PC,LS,BS,CP,BK,RS,YU,AK,AT,ZP,TP,EP,SF,PD,BQ,BB,AG,KI,AR,GR,RX,CC,DX,SS,LG,KZ,RO,ZR,ID,HP,GI,OK,MI
2026-07-13,16575.0,16700.0,16200.0,16375.0,959200,-1.0,0.1178,0.0,-0.2882,-0.0179,0.015,0.5795,0.2678,-4.5,-0.0016,0.0414,-0.1818,-0.5237,0.0,-0.0563,0.0,-0.005,0.0,-0.0162,0.0099,0.6727,0.0,-0.0017,0.0,0.0447,1.2,0.0,0.1997,4.0,0.0081,0.1057,0.1467,0.6084,-0.0001,-0.0017,-1.8,2.3,0.0,0.1787,-0.005,-0.0564,0.0,-1.8,0.0,0.0,-0.1663,0.0,0.0016,0.0,0.0,0.0033,0.0,-0.0133,-0.0166
2026-07-14,16650.0,17275.0,16525.0,16700.0,1787700,-0.0316,-0.1033,-0.0067,-0.1605,0.1255,0.0086,0.2976,-0.9231,-1.7,0.0,-0.3594,-1.3,-0.4994,0.0,0.0,-0.2921,-0.0101,0.0,-0.5104,0.0,0.086,0.0,-0.05,0.0,-0.0801,0.6674,0.0,0.3905,4.1,0.1112,1.9,0.3493,0.1517,0.0,-0.1636,-1.3,2.4,0.0,-0.0138,0.0,-0.057,-5.1,2.2,-0.0034,0.0,-0.0136,0.0,0.0,0.0,-0.0083,-0.0083,-0.0172,-0.017,0.0
2026-07-15,16850.0,16850.0,16400.0,16650.0,879800,-0.0467,0.122,0.0033,0.0299,-0.0099,0.0,0.4199,0.1826,-3.2,0.0,0.013,-0.0608,0.0305,0.0,0.0,-0.0085,0.0252,0.0017,0.0016,0.0,-0.0831,0.0,-0.0017,0.0017,-0.143,0.6131,0.0,0.161,-1.5,-0.0212,1.8,0.0117,0.1394,-0.0,-0.182,0.0,2.6,0.0939,0.0,0.0,-0.5434,0.0,-0.322,0.0,0.0,-0.1163,0.0,-0.0001,0.0016,0.0,0.0,0.0,0.0,0.0
2026-07-16,16975.0,17125.0,16825.0,16850.0,1342000,-0.1269,0.1148,-0.0051,-0.4617,-0.0067,-0.0017,-0.4774,0.2245,-4.0,-0.0,-0.08,-0.1115,-0.0201,0.0,0.0034,0.0085,0.1316,-0.0373,0.0221,0.0,-0.017,0.0,0.0,0.0,2.8,0.5614,0.0,-0.1454,3.4,-0.0599,3.1,-0.0001,-0.4959,0.0,0.2975,1.6,2.4,0.0101,-0.0068,0.0,-0.1002,-6.6,-1.8,0.0,-0.034,0.0153,-0.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,17000.0,17350.0,16750.0,16950.0,1411800,-0.1274,-0.106,-0.0325,0.0655,0.4461,0.0137,-0.0464,-0.1286,-4.2,-0.0,-0.0972,0.0027,1.1,-0.034,0.0034,0.0051,-0.0057,-0.0017,0.0859,-0.0,0.3288,-0.086,-0.0085,-0.0017,0.3582,2.0,0.0421,0.7278,-4.1,0.0501,0.0082,0.121,-0.2097,0.0034,0.3978,0.0033,5.6,0.1975,-0.0205,-0.0051,-0.0102,-3.7,1.3,0.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,17450.0,17750.0,16975.0,16975.0,1545500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,17450.0,17950.0,17400.0,17475.0,1513500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,17300.0,17575.0,17225.0,17550.0,1171800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,17650.0,17825.0,17275.0,17300.0,1511100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,17450.0,17775.0,17375.0,17650.0,1271200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
