Date,Close,High,Low,Open,Volume,NI,RO,XA,GI,OD,YB,QA,SQ,YP,YU,XC,LG,KK,XL,YJ,AT,TP,EP,DH,PD,BQ,FZ,AZ,AG,IF,MG,MI,GR,CC,DX,CP,ID,DR,HP,ZP,IU,PO,LS,KI,MU,HD,IN,RS,TF,RB,PG,SH,AI
2026-07-13,22.0,22.0,21.0,21.0,72732500,-0.0026,-0.0,-0.0275,0.0,0.085,-0.0059,0.0,0.1205,0.0286,-0.0495,-0.031,-0.1722,0.004,-0.0319,0.0088,-0.0007,0.0,0.0005,0.0012,-0.0341,0.0022,0.0001,0.0049,0.0,0.0,-0.0048,0.0,0.0111,-0.0769,0.0,-0.0414,0.0,0.121,0.0,0.0,0.0,0.0055,0.0451,0.0,0.0,0.0,0.0,0.0,0.0,-0.0082,0.0396,0.0066,0.0022
2026-07-14,23.0,23.0,22.0,22.0,38606900,0.0034,-0.0044,0.0047,0.0,0.0,0.0113,0.0,0.0228,-0.0008,0.0,-0.0058,0.0047,0.0027,0.0959,0.022,-0.0003,-0.0,-0.0012,-0.0,0.0174,-0.0109,0.0,0.0006,0.0,0.0,0.0006,0.0,0.0012,0.044,0.0,-0.1907,0.0,0.0002,0.0001,0.0002,0.0,0.0,0.0,-0.0045,0.0,0.0,0.0,-0.0044,-0.0088,0.0,0.0,0.0,0.0
2026-07-15,22.0,23.0,22.0,23.0,28749100,-0.004,0.0,0.0024,0.0,0.0001,-0.0287,0.0002,0.0002,0.0371,0.0,-0.0031,0.0088,0.0001,-0.1808,0.023,0.0002,0.0,0.0022,-100.0,0.1113,0.0,0.0,0.0011,0.0,0.0,-0.0127,0.0,0.0,0.0317,0.0,0.0305,0.0,-0.0023,0.0,-0.0078,0.0011,0.0,0.0,-0.0004,0.0,0.0007,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,22.0,22.0,22.0,22.0,32661000,-0.0051,-0.0003,0.0285,0.0,-0.0053,0.004,-0.0002,-0.1033,-0.0721,0.0001,0.0134,0.055,0.012,0.0301,0.0528,0.0085,0.0007,0.0007,0.0242,-0.0224,0.0012,0.0,0.0053,0.011,0.0,0.059,0.0,-0.0546,-0.0104,0.0019,-0.0021,0.0001,-0.0,-0.0001,0.0006,0.0011,0.001,0.0231,-0.0003,-0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,23.0,23.0,22.0,22.0,56305400,0.0138,-0.0002,0.0221,0.0,0.0014,-0.0925,-0.0002,0.0188,0.1001,0.0031,0.019,0.0017,-0.0484,0.015,0.022,0.0029,0.0007,-0.0001,0.0002,-0.0128,0.2235,0.0001,0.0001,0.011,-0.0012,-0.071,0.0033,-0.0336,0.002,0.0014,-0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,25.0,25.0,24.0,24.0,129726200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,27.0,27.0,27.0,27.0,71155200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,29.0,29.0,29.0,29.0,160011400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,31.0,31.0,31.0,31.0,55289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,32.0,32.0,31.0,31.0,185222600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
