Date,Close,High,Low,Open,Volume,NI,RO,OD,QA,DR,SQ,YP,XC,LG,KK,XL,AK,AT,EP,PD,AZ,PC,GR,CC,FZ,CP,XA,YU,YJ,DH,BQ,IF,MG,AR,AO,HP,TP,KI,ZR
2026-07-13,276.0,290.0,274.0,282.0,421500,-0.0067,0.0,-0.0005,-0.0,-0.0027,0.0055,-0.0105,0.015,0.0002,-0.0,0.0033,-0.0023,0.0,0.0,0.0062,-0.0001,0.0,0.0,-0.0091,0.0,-0.0124,0.0,0.0001,0.0,0.0028,-0.0001,0.0,0.0021,0.0,0.0,0.0008,0.0057,0.0,0.0028
2026-07-14,270.0,284.0,266.0,276.0,1117100,0.0073,0.0,0.0074,0.0,0.0017,0.0088,0.0095,-0.0511,0.0543,0.0,0.0366,-0.0135,0.0,-0.0,0.0145,0.0003,0.0,0.0387,0.0028,0.0,-0.0752,0.0,0.0001,0.0,0.0013,0.0,0.0,-0.0548,0.0,0.0134,0.0005,-0.0027,0.0,0.0
2026-07-15,276.0,276.0,264.0,270.0,847100,0.0891,-0.0,-0.0001,0.0,-0.0152,-0.0009,0.0098,-0.007,-0.0,0.0004,-0.0294,0.0011,0.0,0.0,-0.0503,0.0,0.0,-0.0109,0.0119,0.0,0.0034,0.0001,0.0,0.0,0.001,-0.0007,0.0,0.0,0.0,0.0,0.0003,-0.0027,0.0001,0.0
2026-07-16,268.0,278.0,264.0,272.0,1094200,0.0001,0.0,-0.0017,0.0,-0.0007,0.0049,0.0065,-0.0544,0.0001,-0.0004,0.0186,0.0016,0.0013,0.0,0.0103,0.0,0.0,0.002,-0.0518,0.0,0.0294,-0.0001,-0.0,0.0003,0.0005,-0.0,200.0,0.0003,0.0069,0.0264,0.0,0.0,0.0,0.0
2026-07-17,268.0,272.0,264.0,268.0,531700,0.0029,0.0007,0.0058,0.0001,0.0013,0.008,0.003,0.0013,-0.0001,0.0,0.0071,0.0018,-0.0014,-0.0,-0.0339,0.0003,0.0001,0.0001,0.0042,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,270.0,272.0,266.0,268.0,797800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,284.0,298.0,268.0,268.0,5724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,294.0,300.0,286.0,296.0,3238700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,290.0,300.0,290.0,294.0,1675700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,286.0,298.0,282.0,296.0,852600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
