Date,Close,High,Low,Open,Volume,YP,XL,SQ,OD,CC,XC,PD,AZ,EP,TP
2026-07-13,3400.0,3430.0,3400.0,3400.0,2200,-0.0003,0.0007,0.0,0.0,0.0041,-0.0003,0.0,0.0,-0.0041,0.0
2026-07-14,3400.0,3400.0,3400.0,3400.0,200,0.0,0.0,0.0,-0.0007,0.0007,0.0,0.0,0.0,0.0,0.0
2026-07-15,3400.0,3400.0,3400.0,3400.0,1300,0.0,0.0,0.0,-0.0007,0.0044,-0.0034,0.0,-0.0003,0.0,0.0
2026-07-16,3390.0,3800.0,3360.0,3500.0,2200,0.0011,-0.0004,0.0003,0.0007,-0.0018,0.0004,-0.0003,0.0,0.0,0.0
2026-07-17,3390.0,3410.0,3380.0,3380.0,500,-0.0003,0.0003,-0.0003,-0.0007,0.0014,-0.0003,0.0,0.0,0.0,0.0
2026-07-20,3390.0,3390.0,3390.0,3390.0,0,,,,,,,,,,
2026-07-21,3430.0,3430.0,3390.0,3390.0,600,0.0007,0.0,0.0,0.0,-0.0014,0.0007,0.0,0.0,0.0,0.0
2026-07-22,3390.0,3400.0,3390.0,3400.0,300,0.0,0.0,0.0,0.0,0.0003,-0.0003,0.0003,0.0,0.0,-0.0003
2026-07-23,3430.0,3430.0,3390.0,3390.0,500,0.0007,-0.0003,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-24,3430.0,3430.0,3390.0,3390.0,500,0.0,-0.0003,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
