Date,Close,High,Low,Open,Volume,NI,RO,CC,OD,QA,DR,SQ,YP,XC,KK,XL,AK,YJ,ZP,EP,DH,PD,BQ,AZ,GR,HD,DX,CP,XA,YB,KI,MG,AT,TP,AG,LS,AO
2026-07-13,187.0,187.0,182.0,185.0,152200,0.0,0.0,0.0148,-0.0003,0.0,-0.0001,0.0,-0.0085,-0.0003,0.0006,-0.0051,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,189.0,199.0,184.0,187.0,491200,-0.0004,0.0,-0.0036,-0.0036,0.0,0.0095,0.0,-0.0263,0.0003,0.0014,-0.0062,-0.0109,0.0437,0.0,0.0,0.0,-0.0007,100.0,-0.0002,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0019,0.0,0.0,0.0,-0.0049
2026-07-15,220.0,230.0,196.0,197.0,2846500,-0.0158,0.0124,-0.0404,-0.0027,0.0116,0.005,-0.0008,-0.0406,-0.0112,0.0259,-0.0428,-0.0509,0.1408,0.0011,0.001,0.0,-0.0211,-0.003,-0.0002,-0.0093,-0.0001,0.0428,0.0003,0.0004,0.0,0.0055,-0.0022,-0.0001,-0.0001,-0.001,-0.0006,-0.0039
2026-07-16,222.0,224.0,210.0,222.0,597000,0.0065,0.0,-0.0032,-0.03,0.0,0.0005,-0.0,0.0038,0.0018,-0.0025,0.0295,-0.0111,0.0268,-0.0011,-0.0006,0.0,-0.0026,-0.0091,0.0,0.0,200.0,0.0,-0.0002,-0.0004,-0.0004,-0.0056,-0.0022,0.0,0.0,0.0,0.0,0.0
2026-07-17,236.0,260.0,222.0,224.0,2407400,-0.0111,-0.0136,-0.1359,0.2418,-0.0122,-0.0015,0.0062,-0.0084,-0.0085,-0.0207,0.0123,-0.0333,0.1009,0.0002,0.0007,0.0003,-0.0351,-200.0,-0.0,-0.031,-0.0,-0.0509,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,232.0,244.0,232.0,238.0,1206500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,234.0,246.0,232.0,232.0,1510400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,234.0,238.0,232.0,236.0,209900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,238.0,240.0,236.0,236.0,200900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,232.0,240.0,232.0,240.0,245600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
