Date,Close,High,Low,Open,Volume,EP,NI,XA,CC,PD,OD,AZ,AG,YB,MG,GR,YP,XC,KK,XL,AT,HD,SQ,CP,QA,DR,YU,BQ,RO,LG,IF,KI,DX
2026-07-13,234.0,260.0,234.0,260.0,2064200,0.0,-0.0783,-0.0241,0.0616,0.0024,0.0036,0.0163,0.0,0.0139,0.02,0.0015,-0.0402,0.0216,0.0007,-0.0496,-0.0002,0.0,0.0077,0.0043,0.0004,0.0181,0.0034,0.0148,0.0,0.0,0.0,-0.0001,0.0023
2026-07-14,236.0,244.0,222.0,242.0,556000,0.0,-0.0,0.0,0.0024,-0.0001,0.0005,0.0008,0.0048,-0.0075,-0.0134,0.0,-0.0007,-0.0003,0.0038,0.0253,-0.0152,0.0,0.0037,0.0004,0.0,0.0,0.0,-0.0005,-0.0014,-0.0,-0.0,-200.0,-0.0024
2026-07-15,238.0,244.0,234.0,234.0,421900,0.0,0.0,0.0026,-0.0011,-0.0184,-0.0005,0.0024,0.0,0.0031,0.0001,0.0,0.0078,0.0031,0.0028,0.0009,-0.0,0.0,0.0074,0.0033,-0.0046,-0.0159,0.0062,0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-16,232.0,244.0,230.0,240.0,3989400,0.0,0.005,0.1668,0.0087,-0.0004,0.0005,0.0012,0.0,0.0031,0.0,0.0,0.0293,-0.0044,0.0047,-0.0405,-0.0061,-0.1666,0.0007,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,238.0,244.0,230.0,232.0,307300,-0.0,0.0057,0.0002,-0.0008,0.0006,0.0,-0.0003,0.0002,-0.0008,-0.0045,0.0002,0.0052,0.0101,0.0,-0.0044,-0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,248.0,254.0,238.0,240.0,1090900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,248.0,258.0,246.0,252.0,4299400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,242.0,254.0,234.0,246.0,796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,238.0,250.0,232.0,234.0,1372200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,216.0,238.0,216.0,234.0,1671800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
