Date,Close,High,Low,Open,Volume,DH,EP,MG,AK,PC,XA,OD,GR,CP,BB,ZR,HD,CC,IN,YP,BS,AG,KZ,AT,PD,IF,XL,CD,TP,AO,FZ,LG,YB,YJ,RX,ZP,DX,RB,SH,BK,RF,AI,PO,YU,FS,HP,LS,RO,SQ,NI,AZ,XC,BQ,KK,DP,RS,IU,KI,PP,DR,ES,OK,GA,MI,AR,TF,SA,IH,II,PI,PG,BF,BR,QA,SF,AF,RG,SS,MU
2026-07-13,3780.0,3780.0,3500.0,3560.0,56645300,0.0,0.2299,-1.2,20.4,0.0,-1.2,0.5516,-1.1,-4.4,3.2,0.0,0.5021,-9.7,4.0,0.4768,0.0,-1.1,6.8,0.0,-2.2,-0.8767,-9.9,0.0,-2.6,1.6,0.0,1.7,0.1196,0.0,0.0,-2.0,3.6,1.0,0.0,4.1,12.3,-0.6034,-3.0,0.0,-1.1,-0.4063,0.0473,0.0,0.2284,1.7,-1.6,-3.3,-1.9,-0.4456,0.001,0.0477,0.0,-2.1,0.0,-1.2,-0.8412,0.0,0.0073,-0.7087,0.0,0.0,0.0,0.0903,0.0,0.0,-1.8,-5.8,0.0173,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,3660.0,3820.0,3650.0,3740.0,83086000,0.8806,0.0,3.3,-23.2,0.0,2.1,2.8,6.4,7.7,11.4,0.0,-0.6744,-11.3,-1.0,9.9,0.0,-2.3,11.7,0.0,9.1,-0.0526,8.7,3.0,-1.2,-2.1,0.7666,-13.2,0.8333,-0.0875,-8.8,-13.7,-1.2,6.7,0.0,-3.0,-6.7,-0.3327,-0.3747,-4.6,0.0,0.7017,0.0,0.0,-4.0,4.5,-6.0,3.4,1.2,0.8452,0.0,0.0,0.0,0.8925,0.0,2.9,0.0,1.7,-1.5,0.6199,1.5,0.0,0.0,-0.0901,-0.0152,-0.019,-0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,3760.0,3890.0,3640.0,3690.0,77265900,-1.4,0.9498,-2.2,11.1,0.0,0.0,-1.0,-1.1,-1.0,-1.2,0.0,-0.6043,-8.8,0.3362,-5.5,0.0106,-0.5524,9.1,0.1435,-4.8,0.6076,0.0,1.7,-0.7053,2.1,0.0,-7.8,0.0,-1.9,0.0,-6.7,0.4464,1.3,0.0,5.0,-7.1,3.6,-2.6,-7.8,0.0,0.322,0.3745,0.4992,-2.5,-1.5,0.9862,-1.2,0.3805,0.0,0.8545,0.0368,0.0112,-1.4,0.0,1.9,0.0,34.0,-2.5,-0.6144,0.0247,0.064,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,3920.0,3970.0,3770.0,3800.0,102247700,-1.0,-2.2,-8.7,-17.1,-1.2,-3.2,-13.1,-4.0,3.0,0.0,0.2636,0.3934,50.9,-2.3,1.6,0.0,8.8,-5.4,0.0,20.0,0.617,21.0,-1.1,-9.8,0.0,0.0,0.5136,1.8,-5.5,0.0,-4.2,0.1931,0.0,0.0,9.6,-1.6,0.7015,-3.0,-6.9,0.0,0.0,0.0,0.0,-5.4,2.1,-4.7,-7.1,-4.5,-1.4,0.0,0.0392,0.0117,-5.2,0.0357,-3.6,0.3154,5.9,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3940.0,3940.0,3830.0,3900.0,59232800,0.7936,0.2705,0.2177,-13.2,-1.3,-0.3826,7.4,-0.0892,0.9181,14.0,-0.269,0.6331,24.6,-0.3733,1.9,1.0,-3.0,-2.0,0.1481,0.1732,-0.1516,5.5,3.3,-0.5996,-0.1353,-0.4573,-0.9824,2.9,-0.0675,0.8495,-32.0,-11.8,10.6,-0.0235,-6.6,1.7,-0.0181,-0.0582,-0.2502,0.4095,1.5,-0.0774,0.2309,-2.5,-6.5,0.8207,0.2643,-0.207,0.7819,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4010.0,4060.0,3890.0,3950.0,80766400,-0.3811,0.0,-0.8131,7.5,0.0,0.0754,0.5735,-0.834,3.0,0.0,0.0,0.2262,12.1,1.8,7.7,0.0,3.3,-0.6,-0.2194,-0.5,-0.5415,-6.8,-5.9,-1.1,-2.5,0.4885,-3.2,-1.5,-1.3,-15.5,-13.7,20.1,1.1,0.0,-3.2,0.0,-0.3822,0.0,2.7,0.8072,-0.7425,0.0,-0.3617,-4.6,-9.4,2.7,8.0,0.0,0.7188,0.0,0.0359,0.0389,-0.5055,0.0,0.0,0.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0201,0.0,0.0,0.0,-7.6,0.0,0.0363,0.0,0.0,0.004,0.4657,0.0104
2026-07-21,4290.0,4370.0,4010.0,4010.0,141625500,-2.1,-4.1,-1.3,-23.1,0.0,-0.7756,2.5,0.0,-5.7,29.5,0.0,-0.5025,53.2,-9.4,-7.7,0.0,-1.0,-30.4,-1.0,-0.746,3.1,0.9968,0.0,-5.0,4.4,-0.3709,0.5588,0.0,-1.8,0.0,-6.3,-0.6487,0.8992,-1.3,9.6,12.2,1.1,0.0978,-26.5,0.0,1.3,0.7043,0.1665,9.1,5.8,0.8583,-8.0,-0.4859,-0.4793,0.0528,0.0,0.0,3.9,0.0,1.1,0.8789,11.5,0.0,0.0,-0.3794,0.0,0.0,0.0,0.0,0.0491,0.0,-15.7,0.0,2.4,0.0,0.0,0.0,0.0,0.0
2026-07-22,4150.0,4410.0,4120.0,4330.0,114455500,0.0,1.6,3.7,-54.3,0.0,3.7,7.5,5.8,3.8,16.6,0.0,-0.4848,-15.7,1.3,11.0,0.0,-3.2,10.9,-0.794,5.8,1.0,24.2,5.4,-4.2,-3.2,0.7109,6.5,0.0,0.0,0.0,-15.2,-0.0196,0.0,0.0,-17.6,4.2,0.0,0.0,-29.9,0.0,0.0,-0.4333,0.0,7.4,-5.0,2.6,4.7,2.1,0.0,0.0,-0.0874,0.0,3.5,0.0,-3.2,0.0,16.6,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-0.0504,0.8689,-5.9,0.0,-0.3432,-0.0004,-0.2243,0.0,0.0,0.0
2026-07-23,4220.0,4360.0,4160.0,4160.0,106927500,-2.3,-1.2,-9.8,34.1,0.0269,-2.0,-15.9,-3.4,-2.0,8.6,0.0,0.0,-23.5,-1.5,-18.1,0.0,-4.6,0.0,-0.8218,3.9,0.5989,-16.2,-3.7,-0.6256,3.4,0.0,5.8,-4.1,-0.4447,0.0,8.6,1.8,0.0,0.0026,38.4,1.6,-0.7139,0.0204,0.9525,0.0,-1.0,-0.8097,0.0,-12.7,22.9,0.127,-4.8,3.7,-1.6,0.0,0.0,0.0155,-3.8,0.0,-1.9,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0
2026-07-24,4040.0,4170.0,3950.0,4110.0,104240800,0.0,0.0,6.8,-23.4,0.0,1.6,8.0,-6.7,4.4,-37.5,0.0,-0.3121,2.1,1.2,9.3,0.0,-1.3,-1.2,0.0,4.2,4.4,2.7,0.0,0.0,1.8,0.0,10.6,1.4,0.0,0.0,-41.0,2.9,0.0,0.0,15.7,4.4,0.0,0.0,1.6,0.0,1.8,0.0,-0.0072,10.1,0.0,2.3,3.1,-3.1,2.2,0.0,0.0,-0.0,1.8,0.0,-1.8,-0.0109,1.8,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
