Date,Close,High,Low,Open,Volume,XL,PD,GR,XC,CP,SQ,MG,YP,AZ,ZP,CC,NI,LG,OD,BR,KK,DR,TP,RO,KI,XA,FS,YB,AT,BK,EP,YU,BQ,AG,PO
2026-07-13,2520.0,2560.0,2320.0,2560.0,161600,-0.0607,-0.0002,0.0,0.0054,-0.0056,0.092,-0.0013,0.0048,-0.0003,-0.0005,-0.1002,-0.0007,-0.0005,0.0098,0.0,-0.0122,0.0003,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0075,0.0,0.0127,-0.0,-0.0002,0.0502
2026-07-14,2450.0,2620.0,2400.0,2590.0,158500,-0.0698,-0.0097,0.0,0.0072,0.0053,-0.0163,0.0254,-0.0023,0.0,0.001,0.0092,-0.0025,-0.0,0.0789,0.0,-0.0126,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.0181,0.0,0.0,0.0,0.0
2026-07-15,2470.0,2550.0,2400.0,2450.0,281100,0.2519,0.0005,0.0229,-0.1239,0.0,0.0,0.0,-0.1129,0.0,0.006,0.0311,-0.1557,0.0,0.0261,0.0,0.0092,0.0072,-0.001,-0.0007,0.039,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,2400.0,2470.0,2360.0,2470.0,140500,-0.0305,0.0186,-0.0036,0.0041,0.0026,-0.0159,0.0,0.0103,0.0,0.0466,-0.064,0.0096,0.0033,0.0069,0.0,0.0097,-0.0009,0.0012,0.0024,-0.0054,0.006,0.0012,-0.0022,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2390.0,2440.0,2320.0,2400.0,106600,0.0554,-0.001,-0.0149,-0.0155,0.0076,-0.0581,-0.0001,0.01,0.0005,0.0002,-0.0063,0.0119,-0.001,-0.0018,-0.0014,0.0137,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2400.0,2450.0,2360.0,2390.0,163900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2490.0,2530.0,2320.0,2400.0,207800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2450.0,2550.0,2440.0,2550.0,214500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2480.0,2550.0,2440.0,2450.0,506200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2330.0,2480.0,2200.0,2480.0,297100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
