Date,Close,High,Low,Open,Volume,AK,YP,SQ,OD,NI,BQ,XC,CP,AT,KK,PD,XL,CC,YB,XA,RO,ZP,AZ,KI,RG,IF,YU,DH,PC,LG,CD,EP,TP,MG,YJ,HP,AG,FZ,IN,QA,ES,AI,GR,DR,IH,PO,DU
2026-07-13,112.0,113.0,109.0,110.0,408200,-0.0017,-0.0005,-0.0005,0.0001,0.0,0.0051,0.0144,0.0,0.0,0.0,-0.0002,-0.0153,-0.0019,0.0007,0.0,0.0,0.0,100.0,0.0,0.0,-0.0,0.001,-0.0002,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,112.0,112.0,111.0,112.0,300100,-0.0022,0.0002,0.0,0.0006,0.0,0.0051,-0.0233,0.0,0.0,-0.0,0.0022,0.0125,0.0068,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,112.0,113.0,111.0,112.0,147300,0.0,-0.0002,0.0,-0.0002,-0.0022,0.0,-0.003,0.0,0.0,0.0038,-0.0055,0.0086,-0.0015,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,112.0,113.0,111.0,112.0,85500,0.0,-0.0001,0.0005,0.0,-0.0023,0.0,0.001,0.0,0.0,0.0047,-0.001,-0.0026,0.0001,-0.0002,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,113.0,113.0,110.0,112.0,162900,-0.0014,-0.0,-0.0042,-0.0,0.0001,0.0,0.0012,-0.0002,-0.0,0.0018,-0.0003,0.001,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,114.0,114.0,111.0,112.0,478100,-0.0017,0.0276,0.0,0.0004,0.004,-0.0,-0.0128,0.0,0.0,-0.0029,-0.0003,-0.0088,-0.0013,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,116.0,116.0,113.0,114.0,790700,-0.0024,0.0558,-0.0304,-0.0033,-0.0,-0.0001,-0.0035,0.0,0.0,-0.0036,-0.0001,-0.0223,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0035,0.0,-0.0015,-0.0006,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0
2026-07-22,116.0,117.0,114.0,117.0,990100,-0.0036,0.023,-0.0178,-0.0,-0.0011,0.0,-0.002,-0.0,0.0,0.001,-0.0037,-0.0308,-0.0046,0.0,0.0001,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0,-0.0035,0.0,0.0,0.0409,0.0,0.0032,0.0,0.0012,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,116.0,119.0,116.0,116.0,1347500,-0.0043,-0.0462,-600.0,-0.0283,0.0,0.0741,-0.0121,0.0268,0.0,-0.0127,-0.0005,-0.0061,0.0028,0.0,0.0178,0.0007,0.0,0.0,-0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0002,-0.0001,0.0,0.0,0.0,0.0
2026-07-24,110.0,133.0,110.0,122.0,18671700,-0.0049,-0.037,0.0011,0.0038,0.0173,-0.0677,0.0535,-0.0095,0.003,0.0213,0.0104,0.0353,0.0119,-0.0549,-0.0345,0.0,0.0,-0.0,0.0,-0.0016,0.0009,0.0115,0.0036,0.0,0.0002,0.0003,0.014,-0.0013,0.0014,0.0387,-0.0006,-0.0153,0.0,-0.0011,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
