Date,Close,High,Low,Open,Volume,CC,DX,XL,OD,XC,DR,FZ,YP,AT,DH,KK,NI,AR,PD
2026-07-13,400.0,408.0,398.0,408.0,11300,-0.0009,0.0,0.0011,0.0006,-0.0004,-0.0001,0.0,-0.0001,-0.0002,0.0,-0.0,0.0,0.0,0.0
2026-07-14,406.0,406.0,398.0,400.0,1800,0.0,0.0,0.0002,0.0,0.0,-0.0,0.0001,0.0,0.0001,0.0,-0.0002,0.0,0.0,-0.0
2026-07-15,406.0,406.0,404.0,406.0,1500,0.0,0.0,0.0001,-0.0005,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0003,0.0001,0.0
2026-07-16,404.0,406.0,390.0,404.0,1200,0.0,0.0,0.0002,0.0001,-0.0001,-0.0001,0.0001,-0.0001,-0.0002,-0.0,0.0,0.0,0.0,0.0
2026-07-17,402.0,404.0,402.0,404.0,4000,0.0,-0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,402.0,404.0,402.0,402.0,500,,,,,,,,,,,,,,
2026-07-21,396.0,404.0,394.0,404.0,12300,,,,,,,,,,,,,,
2026-07-22,400.0,404.0,392.0,396.0,127200,,,,,,,,,,,,,,
2026-07-23,402.0,402.0,390.0,398.0,29800,,,,,,,,,,,,,,
2026-07-24,394.0,400.0,390.0,400.0,5700,,,,,,,,,,,,,,
