Date,Close,High,Low,Open,Volume,OD,QA,CP,XL,BQ,PD,CC,YP,NI,KI,DR,XA,ZP,AZ,KK,RO,XC,SQ,YU,AT,AI,DH,GR,YB,HP,EP,TP,LG,AG
2026-07-13,132.0,133.0,128.0,129.0,1132800,-0.0002,-0.0,-0.0005,0.0593,-0.002,0.0096,-0.0432,0.0053,0.0001,0.0,0.0,0.0,0.0,-0.0078,-0.0,-0.0,-0.0044,0.0001,0.0,-0.009,0.0,-0.0018,-0.0006,0.0,-0.0046,0.0,0.0,0.0,-0.0001
2026-07-14,136.0,142.0,131.0,132.0,3395000,0.0042,0.001,0.0051,-0.0326,-0.0086,-0.0046,0.0415,-0.009,-0.0022,500.0,0.0,0.0001,0.0,0.0001,-0.0055,-0.0,0.0017,0.0108,0.0,0.0,0.0,-0.0,-0.0014,0.0014,0.0,-0.0021,-0.0,0.0,0.0
2026-07-15,138.0,141.0,135.0,136.0,1591300,0.0034,0.0,0.0,0.0284,-0.0015,0.008,-0.0433,-0.0014,-0.0001,0.0007,-0.0001,-0.0001,-0.0,-0.0001,-0.0017,0.0,0.0047,0.0125,0.0,0.0,-0.0008,-0.0,-0.007,-0.0014,-0.0001,0.0,0.0,0.0,0.0
2026-07-16,140.0,140.0,137.0,137.0,1238900,-0.0039,-0.001,0.0,0.0052,0.0,0.006,-0.0132,0.0114,0.0002,0.0,0.0024,-0.0,0.0,0.0,0.0002,0.0,-0.0031,-0.0048,0.001,-0.0001,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,141.0,141.0,135.0,139.0,1006100,-0.0002,-200.0,0.0002,0.0297,0.0001,0.0,-0.0182,-0.0119,0.0014,0.0,-0.0014,-0.0005,0.0,-0.0003,-0.0001,-0.0007,0.0008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,141.0,143.0,139.0,140.0,1288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,144.0,145.0,140.0,140.0,1669400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,143.0,146.0,141.0,144.0,904500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,150.0,153.0,141.0,143.0,2994900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,141.0,149.0,139.0,149.0,2554200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
